Bnb,MEANenv,Venv,SDenv,Essentiality,GlobalEssentiality,RMenv,SSenv,DMenv
b4711,0.08450629523358125,0.010161511352811056,0.1008043220939016,Nonessential,Nonessential,0.1008043220939016,0.280571054043452,-0.1797667319495504
b1373,0.14210690916172547,0.027526559149522213,0.16591129904115093,Nonessential,Nonessential,0.16591129904115093,0.29462177032787057,-0.12871047128671964
b4590,0.16484108039391493,0.055627507021430565,0.2358548431163341,Nonessential,Nonessential,0.21658677225098727,0.3001675914142785,-0.06431274829794442
b0298,0.1838653943620399,0.06069662768460035,0.24636685589705518,Nonessential,Nonessential,0.2358548431163341,0.30480728240116256,-0.058440426504107384
b2643,0.19305402227820556,0.046909829914101024,0.21658677225098727,Nonessential,Nonessential,0.2358548431163341,0.3070476479811885,-0.09046087573020123
b0360,0.2007723690776228,0.06805337570799894,0.2608704193809619,Nonessential,Nonessential,0.2358548431163341,0.3089291673309193,-0.0480587479499574
b1545,0.20352710609851613,0.06043935014930887,0.24584415825743933,Nonessential,Nonessential,0.24584415825743933,0.30960060687795166,-0.06375644862051233
b3445,0.20911707598654522,0.048871034897480986,0.22106794181310185,Nonessential,Nonessential,0.24636685589705518,0.3109629503324275,-0.08989500851932564
b0618,0.2479568848378259,0.06825926193977609,0.2612647353543453,Nonessential,Nonessential,0.24636685589705518,0.3204216591408546,-0.059156923786509275
b0617,0.2564089732879216,0.10261720618383352,0.32033920488106593,Nonessential,Nonessential,0.25466108897033546,0.3224780521561649,-0.002138847275098943
b0531,0.28544128962218945,0.054324155006925307,0.23307542772013806,Nonessential,Nonessential,0.2608704193809619,0.32953500245111433,-0.09645957473097627
b4622,0.30772942643066326,0.11728085388519245,0.3424629233730163,Nonessential,Nonessential,0.2612647353543453,0.3349446190751843,0.0075183042978320125
b3045,0.31327319304937506,0.06485227023555712,0.25466108897033546,Nonessential,Nonessential,0.2682912726965346,0.3362889455521265,-0.08162785658179106
b3044,0.31837690256408735,0.20084340399809184,0.44815555781234245,Nonessential,Nonessential,0.32033920488106593,0.3375261047886881,0.11062945302365434
b2088,0.31967114782853134,0.13055445920302183,0.36132320601232054,Nonessential,Nonessential,0.32845586735971655,0.33783976385625014,0.0234834421560704
b0613,0.33297778767908004,0.05467691522829622,0.23383095438435053,Nonessential,Nonessential,0.3424629233730163,0.3410628880023364,-0.10723193361798589
b0297,0.33447861729245393,0.07198020700512629,0.2682912726965346,Nonessential,Nonessential,0.3424629233730163,0.34142621471711654,-0.07313494202058196
b0248,0.3409381848242792,0.10788325680302373,0.32845586735971655,Nonessential,Nonessential,0.3450097334391453,0.34298948526092676,-0.014533617901210216
b2003,0.35718870617881127,0.1660259622724681,0.40746283544940404,Nonessential,Nonessential,0.349402291529081,0.34691861723073114,0.060544218218672896
b4101,0.3616452132263303,0.15101966578869033,0.3886124879474286,Nonessential,Nonessential,0.35463088349478344,0.34799518633475235,0.04061730161267624
b0616,0.37677892668503443,0.11046035364441298,0.332355763669615,Nonessential,Nonessential,0.3424629233730163,0.35164786528613773,-0.019292101616522728
b1409,0.38703950019909156,0.0976292075851823,0.31245672914050404,Nonessential,Nonessential,0.3450097334391453,0.35412140857665614,-0.0416646794361521
b2004,0.38986239410075535,0.14671150819050127,0.383029382933609,Nonessential,Nonessential,0.349402291529081,0.35480148833006375,0.028227894603545245
b0246,0.4021259468520625,0.12576306352829067,0.35463088349478344,Nonessential,Nonessential,0.35463088349478344,0.3577536291476066,-0.0031227456528231667
b3577,0.4140221099195897,0.16137564178352037,0.40171587195867725,Nonessential,Nonessential,0.36128569569165264,0.3606134833452566,0.04110238861342064
b4102,0.4278410546280328,0.16049951284649264,0.4006239044871045,Nonessential,Nonessential,0.36132320601232054,0.36393045982796607,0.03669344465913843
b0540,0.4324463427368174,0.19221246981167572,0.4384204258604698,Nonessential,Nonessential,0.36132320601232054,0.36503458159041724,0.07338584427005257
b4733,0.4364483962777454,0.3390237147954854,0.5822574300045344,Nonessential,Nonessential,0.3705286969189123,0.3659935327350579,0.21626389726947653
b3444,0.4557625712912651,0.1946079685891325,0.4411439318285275,Nonessential,Nonessential,0.3705286969189123,0.37061403832587386,0.07052989350265365
b4583,0.45751667059292556,0.15053703319667852,0.38799102205679775,Nonessential,Nonessential,0.37141352016301327,0.3710330326391749,0.016957989417622832
b4100,0.4586548839878951,0.1190317161677501,0.3450097334391453,Nonessential,Nonessential,0.3774243007181221,0.3713048542126,-0.026295120773454694
b4504,0.47230201284897627,0.20414897987227248,0.4518284850164634,Nonessential,Nonessential,0.3774243007181221,0.37456029795670326,0.07726818705976013
b4682,0.4769710480937387,0.2884569524829592,0.5370818861988916,Nonessential,Nonessential,0.383029382933609,0.3756724630364779,0.16140942316241375
b1544,0.4847162296781976,0.4007959554436817,0.6330844773359094,Nonessential,Nonessential,0.383029382933609,0.37751549376619054,0.2555689835697189
b2483,0.4874244840526723,0.09651269756381169,0.3106649281200111,Nonessential,Nonessential,0.383029382933609,0.3781593826124559,-0.06749445449244479
b1691,0.4888397973912502,0.07129467948628208,0.2670106355302764,Nonessential,Nonessential,0.38514200117603137,0.37849575617549225,-0.11148512064521587
b2650,0.5061041833080482,0.1220819613257729,0.349402291529081,Nonessential,Nonessential,0.38514200117603137,0.3825922352451154,-0.0331899437160344
b1578,0.5121686150171703,0.13729151524042718,0.3705286969189123,Nonessential,Nonessential,0.38514200117603137,0.3840281660194128,-0.013499469100500483
b4099,0.5166537102075458,0.18489392316761952,0.4299929338577781,Nonessential,Nonessential,0.38514200117603137,0.38508909350154774,0.04490384035623035
b3370,0.5202597859209739,0.3619835953832716,0.6016507254074174,Nonessential,Nonessential,0.38514200117603137,0.385941435043661,0.21570929036375636
b0511,0.5202849247927839,0.08736063790721561,0.295568330352248,Nonessential,Nonessential,0.383029382933609,0.3859473748546237,-0.09037904450237572
b0614,0.5211266520497431,0.13052735391140144,0.36128569569165264,Nonessential,Nonessential,0.38514200117603137,0.3861462414104304,-0.02486054571877777
b2850,0.5355077594319055,0.18948531546518138,0.4352991103427405,Nonessential,Nonessential,0.38799102205679775,0.3895388344984752,0.045760275844265286
b1149,0.5369506301344825,0.16000776333065714,0.4000097040456108,Nonessential,Nonessential,0.38799102205679775,0.38987867743021304,0.010131026615397776
b4745,0.5430586019745515,0.5851351057945179,0.7649412433608989,Nonessential,Nonessential,0.4000097040456108,0.3913161911253316,0.37362505223556725
b1408,0.5459980741531133,0.13794800295988108,0.37141352016301327,Nonessential,Nonessential,0.4000097040456108,0.3920073495352693,-0.020593829372256012
b0361,0.5467395801149966,0.10570564634521415,0.3251240476267699,Nonessential,Nonessential,0.38799102205679775,0.39218163284752955,-0.06705758522075966
b0550,0.5548475033728758,0.1616842017673969,0.4020997410685524,Nonessential,Nonessential,0.38799102205679775,0.3940855344059823,0.008014206662570078
b2888,0.5598482246008014,0.11211881450146187,0.3348414766743539,Nonessential,Nonessential,0.38799102205679775,0.39525815463559405,-0.06041667796124017
b2110,0.568317364926733,0.3369790659205984,0.5804989801202052,Nonessential,Nonessential,0.38514200117603137,0.39724116093107087,0.1832578191891343
b0247,0.5717348380086581,0.14244910277256348,0.3774243007181221,Nonessential,Nonessential,0.3774243007181221,0.3980402881684976,-0.020615987450375517
b4082,0.5768546318998313,0.11005914316389113,0.3317516287283171,Nonessential,Nonessential,0.38514200117603137,0.3992363249801421,-0.06748469625182502
b3079,0.5794542583031291,0.14833436106987813,0.38514200117603137,Nonessential,Nonessential,0.38514200117603137,0.39984308982545086,-0.014701088649419491
b0299,0.5821500633093745,0.13253764654428238,0.36405720229695,Nonessential,Nonessential,0.38514200117603137,0.4004719194327681,-0.03641471713581812
b3120,0.5839502554168711,0.21667107761793714,0.46547940622323686,Nonessential,Nonessential,0.38514200117603137,0.40089161746130725,0.06458778876192961
b4516,0.5842047140692102,0.2588612065829312,0.5087840470994852,Nonessential,Nonessential,0.4000097040456108,0.40095092793219417,0.10783311916729105
b0518,0.598875839981453,0.07425635143460432,0.2725001861184765,Nonessential,Nonessential,0.4000097040456108,0.4043645182396313,-0.13186433212115484
b3578,0.6005448146299309,0.13135889997843397,0.36243468374099347,Nonessential,Nonessential,0.4000097040456108,0.4047520844490193,-0.04231740070802581
b4098,0.6060367856629754,0.1267895869339815,0.3560752545937186,Nonessential,Nonessential,0.4020997410685524,0.4060263032062731,-0.049951048612554505
b2222,0.6114183317627494,0.5155405367536944,0.7180115157528425,Nonessential,Nonessential,0.4020997410685524,0.4072732237860781,0.3107382919667644
b0718,0.6129779476307708,0.05018188783116998,0.22401314209476636,Nonessential,Nonessential,0.4000097040456108,0.4076342780662966,-0.18362113597153024
b2221,0.6194624508450193,0.6385329574452029,0.799082572357327,Nonessential,Nonessential,0.4000097040456108,0.40913392776049673,0.3899486445968303
b2851,0.6258345886735697,0.2382384621684746,0.48809677541290375,Nonessential,Nonessential,0.4020997410685524,0.41060516757757287,0.07749160783533088
b0615,0.6277465715392323,0.09453334015359287,0.30746274596053563,Nonessential,Nonessential,0.4000097040456108,0.41104614450909593,-0.1035833985485603
b2355,0.6448496078902837,0.16684712759968118,0.4084692492705922,Nonessential,Nonessential,0.38514200117603137,0.4149808104184227,-0.006511561147830525
b4097,0.6534189528763956,0.17941625472759418,0.42357555964384225,Nonessential,Nonessential,0.38514200117603137,0.41694534032321784,0.006630219320624409
b0731,0.6542684577448158,0.1008968787086604,0.317642690312024,Nonessential,Nonessential,0.4020997410685524,0.41713983296932405,-0.09949714265730003
b4106,0.665312371215257,0.23387434430750834,0.48360556686984935,Nonessential,Nonessential,0.4084692492705922,0.419664021284245,0.06394154558560433
b0988,0.6656839022769555,0.23702877530017022,0.4868560108493786,Nonessential,Nonessential,0.4169127887955349,0.4197487979461411,0.06710721290323746
b0533,0.666811448086507,0.12298995221943974,0.3506992332746676,Nonessential,Nonessential,0.4169127887955349,0.42000602701723827,-0.06930679374257065
b0770,0.6684311991376877,0.0916873473366227,0.3027991864860649,Nonessential,Nonessential,0.4169127887955349,0.42037539470767116,-0.11757620822160625
b0560,0.672050410186599,0.1806770036910245,0.4250611764099663,Nonessential,Nonessential,0.42357555964384225,0.42120008031700773,0.0038610960929585936
b0547,0.6798975918962845,0.2090491389540686,0.4572189179748237,Nonessential,Nonessential,0.4250611764099663,0.42298510225027564,0.03423381572454809
b0012,0.7086829144854412,0.4732874165474541,0.6879588770758425,Nonessential,Nonessential,0.45377122940958503,0.4294958894844232,0.2584629875914193
b2774,0.7112933313907213,0.28012490694105463,0.5292682750184963,Nonessential,Nonessential,0.45654536058860534,0.4300833508375804,0.09918492418091585
