TubeID,FCS,Strain,Medium_Series,Use,PlateID,Medium,Pos,Row,Col,YYMMDD,Folder,Name,Bnb,Essentiality,Foci,Event,Med_FITC,rSD_FITC,rCV_FITC,rCV2_FITC,Av_FITC,SD_FITC,CV_FITC,CV2_FITC,log10Av_FITC,log10SD_FITC,log10Av_FSC,log10Med_FSC
1,Plate_01_Tube_A1.fcs,N1,E,Y,1,E01,A1,A,1,20191120,FACS_data/Tsuru/T20191120,glmU,b3730,essential,N,19392,466.6899871826172,284.8075142944336,0.6102713195408402,0.37243108345411835,494.71245109366095,280.53808417397795,0.5670730210120896,0.3215718111597778,2.595194998599412,0.3504274362366495,3.489757139589465,3.4841260909744975
2,Plate_01_Tube_A2.fcs,N1,E,Y,1,E01,A2,A,2,20191120,FACS_data/Tsuru/T20191120,kdsB,b0918,essential,N,19146,498.3300018310547,289.8334595214844,0.5816094926183966,0.3382696019038287,526.8650094676542,290.24907543337673,0.5508983709634564,0.30348901513019,2.6289771710901944,0.3384043396884551,3.4880728696730734,3.4841260909744975
3,Plate_01_Tube_A3.fcs,N1,E,Y,1,E01,A3,A,3,20191120,FACS_data/Tsuru/T20191120,yjiY,b4354,nonessential,N,18621,430.53001403808594,293.18415,0.6809842297639767,0.46373952118723655,472.11832179155664,301.939189942048,0.6395413522531247,0.4090131412417553,2.5547624883156383,0.38277222215910606,3.483331070600382,3.4841260909744975
4,Plate_01_Tube_A4.fcs,N1,E,Y,1,E01,A4,A,4,20191120,FACS_data/Tsuru/T20191120,pgk,b2926,essential,N,19562,1491.5999603271484,529.4067428466797,0.35492542030543256,0.12597205397898795,1533.30099428647,542.0925882901771,0.3535461010657225,0.12499484557877406,3.1554985865017584,0.17064602837677767,3.4875676577723826,3.4841260909744975
5,Plate_01_Tube_A5.fcs,N1,E,Y,1,E01,A5,A,5,20191120,FACS_data/Tsuru/T20191120,yggX,b2962,nonessential,N,20797,1249.780014038086,465.7439857177734,0.37266077268505615,0.1388760514982231,1285.5517759628067,481.31808015103604,0.37440583036070685,0.1401797258080904,3.07441511730317,0.1863784547788379,3.48573797340413,3.4841260909744975
6,Plate_01_Tube_A6.fcs,N1,E,Y,1,E01,A6,A,6,20191120,FACS_data/Tsuru/T20191120,yhgI,b3414,nonessential,N,19980,1081.4100189208984,400.4058833496093,0.3702627831663336,0.13709452859807936,1113.325542337687,417.06847925926365,0.37461502803890673,0.14033641923259088,3.0114888715867147,0.18881083056453354,3.4823219302333754,3.4841260909744975
7,Plate_01_Tube_A7.fcs,N1,E,Y,1,E01,A7,A,7,20191120,FACS_data/Tsuru/T20191120,nuoA,b2288,nonessential,N,17725,889.3100433349609,370.2496690429687,0.41633361932415874,0.17333368257955353,914.5564628809842,377.0079842810177,0.4122304084904593,0.16993390968421093,2.916469465927038,0.2190815749247768,3.4751458619914137,3.4841260909744975
8,Plate_01_Tube_A8.fcs,N1,E,Y,1,E01,A8,A,8,20191120,FACS_data/Tsuru/T20191120,gadE,b3512,nonessential,N,15058,232.2150115966797,190.1508702392578,0.8188569245881461,0.6705266629459568,266.26628925791135,190.180760925574,0.7142502396965495,0.5101534049065785,2.268187077490625,0.44752183421221636,3.483756590650162,3.4841260909744975
9,Plate_01_Tube_A9.fcs,N1,E,Y,1,E01,A9,A,9,20191120,FACS_data/Tsuru/T20191120,tmk,b1098,essential,N,17611,454.25999450683594,291.5088047607422,0.6417223798833894,0.41180761284320117,486.09551011791046,287.62701571549735,0.5917088508917284,0.3501193642236097,2.5797870394246516,0.3636733287067752,3.4887914516338943,3.4841260909744975
10,Plate_01_Tube_A10.fcs,N1,E,Y,1,E01,A10,A,10,20191120,FACS_data/Tsuru/T20191120,proA,b0243,nonessential,N,9834,548.6149749755859,315.8011297485351,0.5756334481438256,0.3313538666219503,579.8770704938553,316.36395989391514,0.5455707355775977,0.29764742751868106,2.6728524393276616,0.3341680515327021,3.4869501243649963,3.4841260909744975
11,Plate_01_Tube_A11.fcs,N1,E,Y,1,E01,A11,A,11,20191120,FACS_data/Tsuru/T20191120,atpA,b3734,nonessential,N,17750,346.91001892089844,242.92397380371094,0.7002506718005796,0.49035100335716314,378.7045729198189,242.7764608660393,0.6410708457894462,0.41097182932119586,2.4549094808484484,0.39160929188420024,3.4822556505700937,3.4841260909744975
12,Plate_01_Tube_A12.fcs,N1,E,Y,1,E01,A12,A,12,20191120,FACS_data/Tsuru/T20191120,carA,b0032,nonessential,N,20546,858.8000335693359,373.60045001220703,0.43502612413678265,0.18924772868147144,887.3796057725716,391.16894121446285,0.4408135353459051,0.19431657294415555,2.895544074848263,0.24275150894163822,3.4822784693347884,3.4841260909744975
13,Plate_01_Tube_B1.fcs,N1,E,Y,1,E01,B1,B,1,20191120,FACS_data/Tsuru/T20191120,murG,b0090,essential,N,12044,235.0399932861328,190.98849761352537,0.8125787230644613,0.6602841811770706,271.057110271118,193.6769384643996,0.7145244715059463,0.5105452203808519,2.279389066671324,0.4374921514408201,3.4770879950706655,3.4841260909744975
14,Plate_01_Tube_B2.fcs,N1,E,Y,1,E01,B2,B,2,20191120,FACS_data/Tsuru/T20191120,pyrH,b0171,essential,N,18071,1318.709945678711,467.4191499755859,0.35445182733873715,0.12563609790376992,1348.4275411040403,476.9854079317142,0.3537345488665835,0.12512813106184537,3.098814342535408,0.17627498839491193,3.4910760183821923,3.4841260909744975
15,Plate_01_Tube_B3.fcs,N1,E,Y,1,E01,B3,B,3,20191120,FACS_data/Tsuru/T20191120,cheY,b1882,nonessential,Y,19834,705.1199798583984,381.97708571777343,0.5417192770434356,0.2934597751204625,744.3610935109247,389.518461093529,0.523292343580572,0.27383487685004737,2.794687939421032,0.29868386101294064,3.4824182906150734,3.4841260909744975
16,Plate_01_Tube_B4.fcs,N1,E,Y,1,E01,B4,B,4,20191120,FACS_data/Tsuru/T20191120,gadA,b3517,nonessential,N,17767,337.86997985839844,241.24871905517577,0.7140282754812466,0.509836378186723,374.64387902801775,245.01314232136974,0.6539894444746726,0.42770219348429084,2.44571721782808,0.39954873613444464,3.4835759070147643,3.4841260909744975
17,Plate_01_Tube_B5.fcs,N1,E,Y,1,E01,B5,B,5,20191120,FACS_data/Tsuru/T20191120,yfiD,b2579,nonessential,N,20720,4638.649887084961,1410.6345380859375,0.30410455033768763,0.0924795775360872,4927.678841584252,1797.9457019520523,0.36486665623971787,0.13312767683555246,3.6670130042972966,0.14883083066458286,3.4840318536679473,3.4841260909744975
18,Plate_01_Tube_B6.fcs,N1,E,Y,1,E01,B6,B,6,20191120,FACS_data/Tsuru/T20191120,trxA,b3781,nonessential,N,18851,4000.200180053711,954.9428047851562,0.23872375426280146,0.05698903084932642,4101.325425387454,1028.30742797174,0.25072563654823743,0.06286334482251885,3.5993182261885504,0.11008519589986132,3.4922488955372475,3.4841260909744975
19,Plate_01_Tube_B7.fcs,N1,E,Y,1,E01,B7,B,7,20191120,FACS_data/Tsuru/T20191120,msbA,b0914,essential,N,17981,345.78001403808594,236.22268333740234,0.6831588690703899,0.46670604038953417,376.12956056615525,235.75257414012634,0.6267855517265605,0.3928601278531688,2.4538626982941305,0.39112764711415804,3.4820097447172365,3.4841260909744975
20,Plate_01_Tube_B8.fcs,N1,E,Y,1,E01,B8,B,8,20191120,FACS_data/Tsuru/T20191120,ydfG,b1539,nonessential,N,16384,941.2900238037109,462.3932952392578,0.49123360871365357,0.2413104583298389,983.8185951570049,469.44821237642674,0.47716948499180256,0.2276907174073421,2.928766687873767,0.271358662356151,3.482982581745232,3.4841260909744975
