MedPos	StrainPos	Medium	label	Original_row	YYMMDD
A1	N1A1	E01	N1A1_E01	1	20181112
B1	N1B1	E01	N1B1_E01	2	20181112
C1	N1C1	E01	N1C1_E01	3	20181112
D1	N1D1	E01	N1D1_E01	4	20181112
A5	N1A1	E02	N1A1_E02	33	20181112
B5	N1B1	E02	N1B1_E02	34	20181112
C5	N1C1	E02	N1C1_E02	35	20181112
D5	N1D1	E02	N1D1_E02	36	20181112
A9	N1A1	E03	N1A1_E03	65	20181112
B9	N1B1	E03	N1B1_E03	66	20181112
C9	N1C1	E03	N1C1_E03	67	20181112
D9	N1D1	E03	N1D1_E03	68	20181112
E1	N1A1	E04	N1A1_E04	5	20181112
F1	N1B1	E04	N1B1_E04	6	20181112
G1	N1C1	E04	N1C1_E04	7	20181112
H1	N1D1	E04	N1D1_E04	8	20181112
E5	N1A1	E05	N1A1_E05	37	20181112
F5	N1B1	E05	N1B1_E05	38	20181112
G5	N1C1	E05	N1C1_E05	39	20181112
H5	N1D1	E05	N1D1_E05	40	20181112
E9	N1A1	E06	N1A1_E06	69	20181112
F9	N1B1	E06	N1B1_E06	70	20181112
G9	N1C1	E06	N1C1_E06	71	20181112
H9	N1D1	E06	N1D1_E06	72	20181112
A2	N1A1	F01	N1A1_F01	9	20181112
B2	N1B1	F01	N1B1_F01	10	20181112
C2	N1C1	F01	N1C1_F01	11	20181112
D2	N1D1	F01	N1D1_F01	12	20181112
A6	N1A1	F02	N1A1_F02	41	20181112
B6	N1B1	F02	N1B1_F02	42	20181112
C6	N1C1	F02	N1C1_F02	43	20181112
D6	N1D1	F02	N1D1_F02	44	20181112
A10	N1A1	F03	N1A1_F03	73	20181112
B10	N1B1	F03	N1B1_F03	74	20181112
C10	N1C1	F03	N1C1_F03	75	20181112
D10	N1D1	F03	N1D1_F03	76	20181112
E2	N1A1	F04	N1A1_F04	13	20181112
F2	N1B1	F04	N1B1_F04	14	20181112
G2	N1C1	F04	N1C1_F04	15	20181112
H2	N1D1	F04	N1D1_F04	16	20181112
E6	N1A1	F05	N1A1_F05	45	20181112
F6	N1B1	F05	N1B1_F05	46	20181112
G6	N1C1	F05	N1C1_F05	47	20181112
H6	N1D1	F05	N1D1_F05	48	20181112
E10	N1A1	F06	N1A1_F06	77	20181112
F10	N1B1	F06	N1B1_F06	78	20181112
G10	N1C1	F06	N1C1_F06	79	20181112
H10	N1D1	F06	N1D1_F06	80	20181112
A3	N1A1	G01	N1A1_G01	17	20181112
B3	N1B1	G01	N1B1_G01	18	20181112
C3	N1C1	G01	N1C1_G01	19	20181112
D3	N1D1	G01	N1D1_G01	20	20181112
A7	N1A1	G02	N1A1_G02	49	20181112
B7	N1B1	G02	N1B1_G02	50	20181112
C7	N1C1	G02	N1C1_G02	51	20181112
D7	N1D1	G02	N1D1_G02	52	20181112
A11	N1A1	G03	N1A1_G03	81	20181112
B11	N1B1	G03	N1B1_G03	82	20181112
C11	N1C1	G03	N1C1_G03	83	20181112
D11	N1D1	G03	N1D1_G03	84	20181112
E3	N1A1	G04	N1A1_G04	21	20181112
F3	N1B1	G04	N1B1_G04	22	20181112
G3	N1C1	G04	N1C1_G04	23	20181112
H3	N1D1	G04	N1D1_G04	24	20181112
E7	N1A1	G05	N1A1_G05	53	20181112
F7	N1B1	G05	N1B1_G05	54	20181112
G7	N1C1	G05	N1C1_G05	55	20181112
H7	N1D1	G05	N1D1_G05	56	20181112
E11	N1A1	G06	N1A1_G06	85	20181112
