TubeID,FCS,Strain,Medium_Series,Use,PlateID,Medium,Pos,Row,Col,YYMMDD,Folder,FullPath,Name,Bnb,Essentiality,Foci
1,Plate_01_Tube_A1.fcs,N1,E,Y,1,E01,A1,A,1,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A1.fcs,glmU,b3730,essential,N
2,Plate_01_Tube_A2.fcs,N1,E,Y,1,E01,A2,A,2,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A2.fcs,kdsB,b0918,essential,N
3,Plate_01_Tube_A3.fcs,N1,E,Y,1,E01,A3,A,3,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A3.fcs,yjiY,b4354,nonessential,N
4,Plate_01_Tube_A4.fcs,N1,E,Y,1,E01,A4,A,4,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A4.fcs,pgk,b2926,essential,N
5,Plate_01_Tube_A5.fcs,N1,E,Y,1,E01,A5,A,5,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A5.fcs,yggX,b2962,nonessential,N
6,Plate_01_Tube_A6.fcs,N1,E,Y,1,E01,A6,A,6,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A6.fcs,yhgI,b3414,nonessential,N
7,Plate_01_Tube_A7.fcs,N1,E,Y,1,E01,A7,A,7,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A7.fcs,nuoA,b2288,nonessential,N
8,Plate_01_Tube_A8.fcs,N1,E,Y,1,E01,A8,A,8,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A8.fcs,gadE,b3512,nonessential,N
9,Plate_01_Tube_A9.fcs,N1,E,Y,1,E01,A9,A,9,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A9.fcs,tmk,b1098,essential,N
10,Plate_01_Tube_A10.fcs,N1,E,Y,1,E01,A10,A,10,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A10.fcs,proA,b0243,nonessential,N
11,Plate_01_Tube_A11.fcs,N1,E,Y,1,E01,A11,A,11,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A11.fcs,atpA,b3734,nonessential,N
12,Plate_01_Tube_A12.fcs,N1,E,Y,1,E01,A12,A,12,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_A12.fcs,carA,b0032,nonessential,N
13,Plate_01_Tube_B1.fcs,N1,E,Y,1,E01,B1,B,1,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B1.fcs,murG,b0090,essential,N
14,Plate_01_Tube_B2.fcs,N1,E,Y,1,E01,B2,B,2,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B2.fcs,pyrH,b0171,essential,N
15,Plate_01_Tube_B3.fcs,N1,E,Y,1,E01,B3,B,3,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B3.fcs,cheY,b1882,nonessential,Y
16,Plate_01_Tube_B4.fcs,N1,E,Y,1,E01,B4,B,4,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B4.fcs,gadA,b3517,nonessential,N
17,Plate_01_Tube_B5.fcs,N1,E,Y,1,E01,B5,B,5,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B5.fcs,yfiD,b2579,nonessential,N
18,Plate_01_Tube_B6.fcs,N1,E,Y,1,E01,B6,B,6,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B6.fcs,trxA,b3781,nonessential,N
19,Plate_01_Tube_B7.fcs,N1,E,Y,1,E01,B7,B,7,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B7.fcs,msbA,b0914,essential,N
20,Plate_01_Tube_B8.fcs,N1,E,Y,1,E01,B8,B,8,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B8.fcs,ydfG,b1539,nonessential,N
21,Plate_01_Tube_B9.fcs,N1,E,Y,1,E01,B9,B,9,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B9.fcs,fabI,b1288,essential,N
22,Plate_01_Tube_B10.fcs,N1,E,Y,1,E01,B10,B,10,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B10.fcs,tsf,b0170,essential,N
23,Plate_01_Tube_B11.fcs,N1,E,Y,1,E01,B11,B,11,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B11.fcs,pps,b1702,nonessential,N
24,Plate_01_Tube_B12.fcs,N1,E,Y,1,E01,B12,B,12,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_B12.fcs,gltD,b3213,nonessential,Y
25,Plate_01_Tube_C1.fcs,N1,E,Y,1,E01,C1,C,1,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_C1.fcs,topA,b1274,essential,N
26,Plate_01_Tube_C2.fcs,N1,E,Y,1,E01,C2,C,2,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_C2.fcs,valS,b4258,essential,N
27,Plate_01_Tube_C3.fcs,N1,E,Y,1,E01,C3,C,3,20191120,D:\Tsuru\T20191120,D:\Tsuru\T20191120\Plate_01_Tube_C3.fcs,gatZ,b2095,nonessential,N
