Transcription_Factor,Metabolite,correlation_coefficient_R2
AgaR,Dihydroxyacetone-P,0.7905
ArsR,ADP,0.75661
AsnC,Alanine,0.78074
BetI,NADPH,0.96947
CdaR,3-Phosphoserine,0.75863
CecR,Propionyl-CoA ,0.91347
Cra,Dihydroneopterin,0.7844
CytR,dTDP,0.7714
ExuR,NADH,0.8348
GatR,Propionyl-CoA ,0.96378
HipAB,Dihydropteroate,0.78511
LysR,"1,5-Diaminopentane",0.81415
MlrA,Propionyl-CoA ,0.79162
MngR,Phosphoenolpyruvate,0.81051
MraZ,Udp-Glucose,0.89295
NagC,Pentose-P,0.83748
NanR,N-Acetyl-D-Glucosamine-P,0.77991
SgrR,Glutamic acid,0.77232
SoxR,Tryptophan,0.84276
XylR,gamma-Glutamyl-cysteine,0.76278
YdeO,Deoxyribose-P,0.79789
AllR,NADH,0.78923
AllR,ADP,0.86364
AppY,Xanthosine,0.81877
AppY,dCMP,0.84045
ArgP,Arginine,0.77484
ArgP,Diaminopimelic acid,0.88401
BluR,Isopentenyl diphosphate / Dimethylallyl diphosphate,0.84199
BluR,Pyridoxamine,0.97823
CynR,NADH,0.79122
CynR,Dihydroneopterin,0.79358
DhaR,Phosphoenolpyruvate,0.9042
DhaR,Dihydroxyacetone-P,0.83335
GadX,Pentose-P,0.75808
GadX,Asparagine,0.7519
LeuO,Leucine/Isoleucine,0.92557
LeuO,Valine,0.9146
LsrR,S-Adenosyl-homocysteine,0.88117
LsrR,S-Adenosylmethionine,0.94146
BirA,Pyridoxamine,0.88133
BirA,Oxidized glutathione,0.81281
BirA,Dihydroneopterin,0.81932
GadW,Orotate,0.76908
GadW,IMP,0.87627
GadW,Adenylosuccinic acid,0.88775
GalR,Pentose-P,0.90458
GalR,Udp-Glucose,0.79097
GalR,ADP,0.81027
MalI,Lysine,0.80745
MalI,O-Succinyl-homoserine,0.79634
MalI,S-Adenosylmethionine,0.85975
Nac,Guanine,0.76941
Nac,N2-Succinyl-glutamate,0.85599
Nac,cAMP,0.80089
PaaX,NADPH,0.95177
PaaX,Succinyl-CoA,0.94582
PaaX,Propionyl-CoA ,0.89324
DeoR,dTDP,0.79173
DeoR,Xanthosine,0.89196
DeoR,dCMP,0.9911
DeoR,Propionyl-CoA ,0.89354
HU,Pentose-P,0.90025
HU,Udp-Glucose,0.88751
HU,ADP,0.84903
HU,ATP,0.87736
RbsR,Xanthosine,0.90727
RbsR,dCMP,0.88539
RbsR,CMP,0.75168
RbsR,CTP,0.88319
CsiR,a-Ketoglutaric acid,0.98204
CsiR,Glutamic acid,0.89645
CsiR,N2-Succinyl-glutamate,0.86951
CsiR,NADPH,0.9142
CsiR,O-Acetyl-Serine,0.90882
ModE,Guanine,0.88067
ModE,Inosine,0.81769
ModE,Pyridoxamine,0.84256
ModE,Oxidized glutathione,0.76583
ModE,Dihydroneopterin,0.82286
RutR,Guanine,0.80533
RutR,N2-Succinyl-glutamate,0.76125
RutR,UDP,0.78076
RutR,cAMP,0.79003
RutR,ADP,0.75484
TrpR,Glutamine,0.82183
TrpR,Glutamic acid,0.78008
TrpR,Tryptophan,0.9353
TrpR,Tyrosine,0.85498
TrpR,ATP,0.79873
Cbl,Succinate,0.8783
Cbl,Riboflavin,0.90891
Cbl,"2,3-dihydroxybenzoylserine",0.79024
Cbl,ADP,0.79486
Cbl,ATP,0.78399
Cbl,Protoheme,0.80175
IHF,Glutamic acid,0.75841
IHF,gamma-Glutamyl-cysteine,0.75236
IHF,Citrate,0.76451
IHF,NADPH,0.82828
IHF,Succinyl-CoA,0.77805
IHF,Propionyl-CoA ,0.79326
Fur,Aspartic acid,0.75233
Fur,Orotate,0.76125
Fur,Erythrose 4-P,0.80194
Fur,Asparagine,0.76786
Fur,Pyridoxamine,0.79951
Fur,IMP,0.78858
Fur,Adenylosuccinic acid,0.85896
HipB,Isopentenyl diphosphate / Dimethylallyl diphosphate,0.88514
HipB,gamma-Glutamyl-cysteine,0.93903
HipB,Dihydropteroate,0.84831
HipB,NAD,0.77841
HipB,AMP,0.82564
HipB,ATP,0.88867
HipB,Coenzyme A,0.88628
PuuR,Glutamine,0.88563
PuuR,Glutamic acid,0.93196
PuuR,Arginine,0.79851
PuuR,N-Acetyl-Glutamic acid,0.81689
PuuR,5-Methylthioadenosine,0.86704
PuuR,GABA,0.7678
PuuR,N-Acetyl-Ornithine,0.78305
CysB,Glycolaldehyde,0.89222
CysB,a-Ketoglutaric acid,0.92178
CysB,gamma-Glutamyl-cysteine,0.92787
CysB,Reduced glutathione,0.77804
CysB,NADPH,0.88078
CysB,O-Acetyl-Serine,0.96304
CysB,Pyridoxamine 5-Phosphate,0.85924
CysB,Dihydroneopterin,0.92266
HypT,Aspartic acid,0.90331
HypT,Lysine,0.96381
HypT,Methionine,0.77263
HypT,Diaminopimelic acid,0.87584
