Condition,Area_pixels,Area_microns
Ciprofloxacin 1.5 ng/ml,643,2.716675
Ciprofloxacin 1.5 ng/ml,442,1.86745
Ciprofloxacin 1.5 ng/ml,242,1.02245
Ciprofloxacin 1.5 ng/ml,551,2.327975
Ciprofloxacin 1.5 ng/ml,472,1.9942
Ciprofloxacin 1.5 ng/ml,661,2.792725
Ciprofloxacin 1.5 ng/ml,392,1.6562
Ciprofloxacin 1.5 ng/ml,582,2.45895
Ciprofloxacin 1.5 ng/ml,472,1.9942
Ciprofloxacin 1.5 ng/ml,323,1.364675
Ciprofloxacin 1.5 ng/ml,794,3.35465
Ciprofloxacin 1.5 ng/ml,561,2.370225
Ciprofloxacin 1.5 ng/ml,650,2.74625
Ciprofloxacin 1.5 ng/ml,600,2.535
Ciprofloxacin 1.5 ng/ml,536,2.2646
Ciprofloxacin 1.5 ng/ml,458,1.93505
Ciprofloxacin 1.5 ng/ml,446,1.88435
Ciprofloxacin 1.5 ng/ml,413,1.744925
Ciprofloxacin 1.5 ng/ml,773,3.265925
Ciprofloxacin 1.5 ng/ml,782,3.30395
Ciprofloxacin 1.5 ng/ml,774,3.27015
Ciprofloxacin 1.5 ng/ml,784,3.3124
Ciprofloxacin 1.5 ng/ml,595,2.513875
Ciprofloxacin 1.5 ng/ml,609,2.573025
Ciprofloxacin 1.5 ng/ml,515,2.175875
Ciprofloxacin 1.5 ng/ml,386,1.63085
Ciprofloxacin 1.5 ng/ml,645,2.725125
Ciprofloxacin 1.5 ng/ml,754,3.18565
Ciprofloxacin 1.5 ng/ml,591,2.496975
Ciprofloxacin 1.5 ng/ml,361,1.525225
Ciprofloxacin 1.5 ng/ml,770,3.25325
Ciprofloxacin 1.5 ng/ml,243,1.026675
Ciprofloxacin 1.5 ng/ml,403,1.702675
Ciprofloxacin 1.5 ng/ml,340,1.4365
Ciprofloxacin 1.5 ng/ml,320,1.352
Ciprofloxacin 1.5 ng/ml,594,2.50965
Ciprofloxacin 1.5 ng/ml,402,1.69845
Ciprofloxacin 1.5 ng/ml,412,1.7407
Ciprofloxacin 1.5 ng/ml,372,1.5717
Ciprofloxacin 1.5 ng/ml,658,2.78005
Ciprofloxacin 1.5 ng/ml,487,2.057575
Ciprofloxacin 1.5 ng/ml,996,4.2081
Ciprofloxacin 1.5 ng/ml,1279,5.403775
Ciprofloxacin 1.5 ng/ml,564,2.3829
Ciprofloxacin 1.5 ng/ml,464,1.9604
Ciprofloxacin 1.5 ng/ml,425,1.795625
Ciprofloxacin 1.5 ng/ml,542,2.28995
Ciprofloxacin 1.5 ng/ml,787,3.325075
Ciprofloxacin 1.5 ng/ml,424,1.7914
Ciprofloxacin 1.5 ng/ml,652,2.7547
Ciprofloxacin 1.5 ng/ml,709,2.995525
Ciprofloxacin 1.5 ng/ml,656,2.7716
Ciprofloxacin 1.5 ng/ml,221,0.933725
Ciprofloxacin 1.5 ng/ml,333,1.406925
Ciprofloxacin 1.5 ng/ml,808,3.4138
Ciprofloxacin 1.5 ng/ml,803,3.392675
Ciprofloxacin 1.5 ng/ml,497,2.099825
Ciprofloxacin 1.5 ng/ml,748,3.1603
Ciprofloxacin 1.5 ng/ml,298,1.25905
Ciprofloxacin 1.5 ng/ml,674,2.84765
Ciprofloxacin 1.5 ng/ml,424,1.7914
Ciprofloxacin 1.5 ng/ml,779,3.291275
Ciprofloxacin 1.5 ng/ml,831,3.510975
Ciprofloxacin 1.5 ng/ml,394,1.66465
Ciprofloxacin 1.5 ng/ml,639,2.699775
Ciprofloxacin 1.5 ng/ml,520,2.197
Ciprofloxacin 1.5 ng/ml,702,2.96595
Ciprofloxacin 1.5 ng/ml,430,1.81675
Ciprofloxacin 1.5 ng/ml,555,2.344875
Ciprofloxacin 1.5 ng/ml,355,1.499875
Ciprofloxacin 1.5 ng/ml,467,1.973075
Ciprofloxacin 1.5 ng/ml,605,2.556125
Ciprofloxacin 1.5 ng/ml,967,4.085575
Ciprofloxacin 1.5 ng/ml,984,4.1574
Ciprofloxacin 1.5 ng/ml,641,2.708225
Ciprofloxacin 1.5 ng/ml,727,3.071575
Ciprofloxacin 1.5 ng/ml,567,2.395575
Ciprofloxacin 1.5 ng/ml,496,2.0956
Ciprofloxacin 1.5 ng/ml,646,2.72935
Ciprofloxacin 1.5 ng/ml,894,3.77715
Ciprofloxacin 1.5 ng/ml,833,3.519425
Ciprofloxacin 1.5 ng/ml,862,3.64195
Ciprofloxacin 1.5 ng/ml,593,2.505425
Ciprofloxacin 1.5 ng/ml,411,1.736475
Ciprofloxacin 1.5 ng/ml,501,2.116725
Ciprofloxacin 1.5 ng/ml,436,1.8421
Ciprofloxacin 1.5 ng/ml,378,1.59705
Ciprofloxacin 1.5 ng/ml,665,2.809625
Ciprofloxacin 1.5 ng/ml,466,1.96885
Ciprofloxacin 1.5 ng/ml,562,2.37445
Ciprofloxacin 1.5 ng/ml,392,1.6562
Ciprofloxacin 1.5 ng/ml,622,2.62795
Ciprofloxacin 1.5 ng/ml,652,2.7547
Ciprofloxacin 1.5 ng/ml,557,2.353325
Ciprofloxacin 1.5 ng/ml,446,1.88435
Ciprofloxacin 1.5 ng/ml,434,1.83365
Ciprofloxacin 1.5 ng/ml,542,2.28995
Ciprofloxacin 1.5 ng/ml,357,1.508325
Ciprofloxacin 1.5 ng/ml,340,1.4365
Ciprofloxacin 1.5 ng/ml,740,3.1265
Ciprofloxacin 1.5 ng/ml,584,2.4674
Ciprofloxacin 1.5 ng/ml,708,2.9913
Ciprofloxacin 1.5 ng/ml,1330,5.61925
Ciprofloxacin 1.5 ng/ml,476,2.0111
Ciprofloxacin 1.5 ng/ml,496,2.0956
Ciprofloxacin 1.5 ng/ml,711,3.003975
Ciprofloxacin 1.5 ng/ml,712,3.0082
Ciprofloxacin 1.5 ng/ml,1225,5.175625
Ciprofloxacin 1.5 ng/ml,633,2.674425
Ciprofloxacin 1.5 ng/ml,432,1.8252
Ciprofloxacin 1.5 ng/ml,955,4.034875
Ciprofloxacin 1.5 ng/ml,416,1.7576
Ciprofloxacin 1.5 ng/ml,419,1.770275
Ciprofloxacin 1.5 ng/ml,538,2.27305
Ciprofloxacin 1.5 ng/ml,917,3.874325
