hours_grown1,hours_grown2,gene_downstream,fl_mean_log1,fl_mean_log2,fl_var_log1,fl_var_log2,cor_mean,cor_var
0h,1h,yafC,6.693237445,6.601674669,0.252214702,0.262334833,0.998710269,0.978320822
0h,2h,yafC,6.693237445,6.534698702,0.252214702,0.240838983,0.994700418,0.934124539
0h,3h,yafC,6.693237445,6.46710632,0.252214702,0.234367074,0.991973013,0.914567858
0h,5h,yafC,6.693237445,6.489462098,0.252214702,0.239667041,0.988534391,0.900022899
0h,6.5h,yafC,6.693237445,6.501902224,0.252214702,0.242233254,0.985763124,0.905858719
0h,8.5h,yafC,6.693237445,6.511074801,0.252214702,0.226299785,0.983992857,0.887850084
0h,10h,yafC,6.693237445,6.494038681,0.252214702,0.242321929,0.984507283,0.862891515
0h,11h,yafC,6.693237445,6.454408504,0.252214702,0.239465335,0.984816255,0.887479151
0h,1h,rnhA,6.486600122,6.490546679,0.254940977,0.253406179,0.998710269,0.978320822
0h,2h,rnhA,6.486600122,6.512476391,0.254940977,0.232686126,0.994700418,0.934124539
0h,3h,rnhA,6.486600122,6.447981623,0.254940977,0.232427135,0.991973013,0.914567858
0h,5h,rnhA,6.486600122,6.430561072,0.254940977,0.232860886,0.988534391,0.900022899
0h,6.5h,rnhA,6.486600122,6.410008925,0.254940977,0.214439764,0.985763124,0.905858719
0h,8.5h,rnhA,6.486600122,6.352495751,0.254940977,0.231757966,0.983992857,0.887850084
0h,10h,rnhA,6.486600122,6.348457375,0.254940977,0.231008245,0.984507283,0.862891515
0h,11h,rnhA,6.486600122,6.343450654,0.254940977,0.23100613,0.984816255,0.887479151
0h,1h,dinJ,9.834910837,9.756829257,0.089983259,0.093344358,0.998710269,0.978320822
0h,2h,dinJ,9.834910837,9.675576683,0.089983259,0.079401542,0.994700418,0.934124539
0h,3h,dinJ,9.834910837,9.56164555,0.089983259,0.071240681,0.991973013,0.914567858
0h,5h,dinJ,9.834910837,9.461585169,0.089983259,0.073442833,0.988534391,0.900022899
0h,6.5h,dinJ,9.834910837,9.398114329,0.089983259,0.077650804,0.985763124,0.905858719
0h,8.5h,dinJ,9.834910837,9.407735583,0.089983259,0.091900165,0.983992857,0.887850084
0h,10h,dinJ,9.834910837,9.385602131,0.089983259,0.0963439,0.984507283,0.862891515
0h,11h,dinJ,9.834910837,9.347570628,0.089983259,0.101094361,0.984816255,0.887479151
0h,1h,ybgH,6.767421448,6.724323036,0.333636203,0.34599022,0.998710269,0.978320822
0h,2h,ybgH,6.767421448,6.657931471,0.333636203,0.276548693,0.994700418,0.934124539
0h,3h,ybgH,6.767421448,6.569404139,0.333636203,0.258065223,0.991973013,0.914567858
0h,5h,ybgH,6.767421448,6.501504395,0.333636203,0.241496313,0.988534391,0.900022899
0h,6.5h,ybgH,6.767421448,6.443768374,0.333636203,0.235325755,0.985763124,0.905858719
0h,8.5h,ybgH,6.767421448,6.42905551,0.333636203,0.238828622,0.983992857,0.887850084
0h,10h,ybgH,6.767421448,6.37082171,0.333636203,0.244651529,0.984507283,0.862891515
0h,11h,ybgH,6.767421448,6.325125083,0.333636203,0.259439709,0.984816255,0.887479151
