regulator,Nb_of_Metabolite,List_of_Metabolites
AcrR,NA,NA
Ada,NA,NA
AdiY,NA,NA
AgaR,1,Dihydroxyacetone-P
AidB,NA,NA
AlaS,NA,NA
AllR,2,NADH;ADP
AllS,NA,NA
AlsR,NA,NA
AppY,2,Xanthosine;dCMP
AraC,NA,NA
ArcA,NA,NA
ArgP,2,Arginine;Diaminopimelic acid
ArgR,19,Aspartic acid;Ornithine;Glutamine;Lysine;Glutamic acid;Histidine;Arginine;Diaminopimelic acid;N-Acetyl-Glutamic acid;5-Methylthioadenosine;NADPH;Acetyl-CoA;Succinyl-CoA;Citrulline;Argininosuccinic acid;AMP;ATP;Coenzyme A;N-Acetyl-Ornithine
ArsR,1,ADP
AscG,NA,NA
AsnC,1,Alanine
AtoC,NA,NA
BaeR,NA,NA
BasR,NA,NA
AccB,NA,NA
BetI,1,NADPH
BirA,3,Pyridoxamine;Oxidized glutathione;Dihydroneopterin
BluR,2,Isopentenyl diphosphate / Dimethylallyl diphosphate;Pyridoxamine
CadC,NA,NA
CaiF,NA,NA
Cbl,6,"Succinate;Riboflavin;2,3-dihydroxybenzoylserine;ADP;ATP;Protoheme"
CdaR,1,3-Phosphoserine
CecR,1,Propionyl-CoA
ComR,NA,NA
CpxR,NA,NA
Cra,1,Dihydroneopterin
CreB,NA,NA
Crp,41,"Glycolaldehyde;Malate;a-Ketoglutaric acid;(2R,3R)-2,3-Dihydroxy-3-methylpentanoate;N-Carbamoyl-aspartate;Pentose-P;Seduheptulose 7-P;UDP-N-acetyl-D-Glucosamine;Asparagine;Guanine;Pyridoxamine;N-Acetyl-Glutamic acid;D-Pantothenic acid;N2-Succinyl-glutamate;5-Amino-1-(5-phospho-D-ribosyl)imidazole;Xanthosine 5-P;Riboflavin;Fumarate;Phosphoenolpyruvate;Dihydroxyacetone-P;2-Isopropylmalic acid;4-Hydroxyphenylpyruvate;Citrate;Fructose-1,6-Bisphosphate;UDP;NADH;Acetyl-CoA;Succinyl-CoA;Citrulline;Argininosuccinic acid;cAMP;GTP;Oxidized glutathione;O-Acetyl-Serine;N-Acetyl-Ornithine;3-Carboxy-4-methyl-2-oxopentanoate;3-Phosphoserine;Pyridoxamine 5-Phosphate;Dihydroneopterin;Inosine diphosphate;Adenylosuccinic acid"
CsgD,NA,NA
GlaR,5,a-Ketoglutaric acid;Glutamic acid;N2-Succinyl-glutamate;NADPH;O-Acetyl-Serine
CspA,NA,NA
CueR,10,Glycolaldehyde;D-Pantothenic acid;Riboflavin;NADH;NADP;ADP;GTP;Coenzyme A;Pyridoxamine 5-Phosphate;Dihydroneopterin
CusR,NA,NA
CynR,2,NADH;Dihydroneopterin
CysB,8,Glycolaldehyde;a-Ketoglutaric acid;gamma-Glutamyl-cysteine;Reduced glutathione;NADPH;O-Acetyl-Serine;Pyridoxamine 5-Phosphate;Dihydroneopterin
CytR,1,dTDP
DcuR,NA,NA
DeoR,4,dTDP;Xanthosine;dCMP;Propionyl-CoA
DhaR,2,Phosphoenolpyruvate;Dihydroxyacetone-P
DicA,NA,NA
DinJ-YafQ,NA,NA
DnaA,19,Glycolaldehyde;Orotate;Dihydroorotate;N-Carbamoyl-aspartate;Deoxyribose-P;Hypoxanthine;5-Amino-1-(5-phospho-D-ribosyl)imidazole;Xanthosine 5-P;UDP;NADH;UMP;cAMP;AMP;ADP;ATP;GTP;Inosine diphosphate;5-Methyltetrahydrofolic acid;Adenylosuccinic acid
DpiA,NA,NA
DsdC,NA,NA
EbgR,NA,NA
EnvR,NA,NA
EnvY,NA,NA
EvgA,NA,NA
ExuR,1,NADH
FabR,NA,NA
FadR,12,Glycolaldehyde;Pentose-P;Udp-Glucose;UDP-N-acetyl-D-Glucosamine;Pyridoxamine;D-Pantothenic acid;NADH;NADPH;Acetyl-CoA;AMP;Pyridoxamine 5-Phosphate;Dihydroneopterin
FeaR,NA,NA
FhlA,NA,NA
Fis,10,"Malate;N-Acetyl-Glutamic acid;gamma-Glutamyl-cysteine;5-Amino-1-(5-phospho-D-ribosyl)imidazole;Fructose-1,6-Bisphosphate;Succinyl-CoA;Citrulline;UTP;GTP;N-Acetyl-Ornithine"
FlhDC,NA,NA
FliZ,NA,NA
Fnr,NA,NA
FucR,NA,NA
Fur,7,Aspartic acid;Orotate;Erythrose 4-P;Asparagine;Pyridoxamine;IMP;Adenylosuccinic acid
GadE,11,Glycolaldehyde;a-Ketoglutaric acid;UDP-N-acetyl-D-Glucosamine;Glutamine;D-Alanyl-Alanine;Pyridoxamine;Xanthosine 5-P;NADPH;UTP;Pyridoxamine 5-Phosphate;Dihydroneopterin
GadE-RcsB,NA,NA
GadW,3,Orotate;IMP;Adenylosuccinic acid
GadX,2,Pentose-P;Asparagine
GalR,3,Pentose-P;Udp-Glucose;ADP
GatR,1,Propionyl-CoA
GcvA,NA,NA
GlcC,NA,NA
GlpR,NA,NA
GlrR,NA,NA
GntR,NA,NA
GutM,NA,NA
HcaR,NA,NA
HdfR,NA,NA
HigA,NA,NA
HipAB,1,Dihydropteroate
HipB,7,Isopentenyl diphosphate / Dimethylallyl diphosphate;gamma-Glutamyl-cysteine;Dihydropteroate;NAD;AMP;ATP;Coenzyme A
His.Att,NA,NA
H-NS,NA,NA
HU,4,Pentose-P;Udp-Glucose;ADP;ATP
HyfR,NA,NA
HypT,8,Aspartic acid;Lysine;Methionine;Diaminopimelic acid;ATP;O-Succinyl-homoserine;S-Adenosyl-homocysteine;S-Adenosylmethionine
IclR,NA,NA
IdnR,NA,NA
IHF,6,Glutamic acid;gamma-Glutamyl-cysteine;Citrate;NADPH;Succinyl-CoA;Propionyl-CoA
Ile.Att,NA,NA
IlvY,9,"(2R,3R)-2,3-Dihydroxy-3-methylpentanoate;Reduced glutathione;Riboflavin;2-Isopropylmalic acid;NADP;Oxidized glutathione;Coenzyme A;3-Carboxy-4-methyl-2-oxopentanoate;Pyridoxamine 5-Phosphate"
