Name,Bnb,Essentiality,Mean_logAvFITC,SD_logAvFITC,Mean_DMv,Regulator,MSR
glmU,b3730,essential,2.342559429273921,0.1178566819854002,-0.004117787067162822,RpoD;NagC,NagC
kdsB,b0918,essential,2.370377553875274,0.15249530201782008,-0.0035570256518405383,RpoD,NA
yjiY,b4354,nonessential,2.2331621454223525,0.16833089032919338,7.591033788623209e-4,BtsR;Crp;RpoS,Crp
pgk,b2926,essential,2.9687361066931754,0.0902291794175368,-0.009115258386770254,Crp;Cra;RpoS;RpoD,Cra;Crp
yggX,b2962,nonessential,2.811121554041443,0.12789953418444824,-0.010558735132456216,NA,NA
yhgI,b3414,nonessential,2.8352868048331588,0.1509573132823377,-0.016698209299117108,Crp;GntR;IscR;RpoH;RpoD,Crp;IscR
nuoA,b2288,nonessential,2.829901869196852,0.1494464034006118,-0.01516293730697121,ArcA;Fnr;Fis;IHF;NarL;RpoD;Lrp;CpxR,Fis;IHF;Lrp
gadE,b3512,nonessential,2.2618328167726185,0.18119436438773676,-5.478633823497375e-5,ArcA;Crp;EvgA;FliZ;GadE;GadW;GadX;H-NS;PhoP;YdeO;RpoS;RpoD;Nac;TorR,Crp;GadE;GadW;GadX;Nac;YdeO
tmk,b1098,essential,2.316452860097325,0.2527699237536445,0.0018621784700280628,NA,NA
proA,b0243,nonessential,2.5043218723106646,0.15095487073786856,-0.006159915397462888,NA,NA
atpA,b3734,nonessential,2.31607438894798,0.21124724116164395,0.004451977274474963,RpoD;Lrp,Lrp
carA,b0032,nonessential,2.684364976385536,0.38405986704449663,0.0339265306066607,ArgR;Fis;PepA;PurR;RutR;RpoD;IHF,ArgR;Fis;IHF;PurR;RutR
murG,b0090,essential,2.2504013088138684,0.13826606123531907,0.0018515548492337517,LexA;MraZ;PdhR;RpoD,MraZ;PdhR
pyrH,b0171,essential,2.749556696063543,0.21778891011954274,0.02368869231515577,RpoD,NA
gadA,b3517,nonessential,2.4646371796498174,0.28791536742558044,0.04219898460647656,AdiY;ArcA;Crp;Fnr;Fis;GadE-RcsB;GadX;H-NS;RcsB;TorR;RpoS;RpoD;GadW,Crp;Fis;GadW;GadX
yfiD,b2579,nonessential,2.783163429764618,0.30496459710674645,0.027084912695296844,ArcA;Crp;Fis;Fur;PdhR;RpoD;Fnr,Crp;Fis;Fur;PdhR
trxA,b3781,nonessential,3.3691210006742778,0.15329491729364939,0.0027100981734424928,Crp;RpoD,Crp
msbA,b0914,essential,2.33735136764969,0.15010367617574338,-0.0012397773203761796,Lrp,Lrp
ydfG,b1539,nonessential,2.6972258277005214,0.1584107396801974,0.012085590697259755,NA,NA
fabI,b1288,essential,2.372450541406272,0.22122931493821194,-0.002949437296615992,FadR,FadR
tsf,b0170,essential,2.264099875822844,0.18262484801415638,-0.001889840151784836,RpoD,NA
pps,b1702,nonessential,2.7194911510395428,0.20921197325120805,0.004958900372715614,Cra;RpoD;Lrp;PdhR,Cra;Lrp;PdhR
topA,b1274,essential,2.516320584328381,0.13135777275759153,-0.007391304651726848,RpoH;RpoS;RpoD;Fis;Lrp,Fis;Lrp
valS,b4258,essential,2.676442742006678,0.15186967296735598,-0.008713933887307422,RpoH;RpoD,NA
gatZ,b2095,nonessential,2.7836197345758027,0.1812956275553196,0.043975358006545555,ArcA;Crp;GatR;RpoD,Crp;GatR
yhbY,b3180,nonessential,2.738742228517686,0.17667606408407155,-0.011179581568150578,Lrp,Lrp
hupA,b4000,nonessential,3.7130827352424673,0.20730937046233094,0.01016597333489878,Crp;Fis;Nac,Crp;Fis;Nac
nrdH,b2673,nonessential,2.376370740561303,0.17923622721824023,0.003498601520521519,Fur;IscR;NrdR;RpoD,Fur;IscR;NrdR
lpxM,b1855,nonessential,2.3193407011198293,0.17105963227781945,-4.1712017376202196e-4,NA,NA
guaA,b2507,nonessential,2.2529667795424806,0.18250578892751582,0.002207735355209881,Crp;DnaA;Fis;PurR;RpoD,Crp;DnaA;Fis;PurR
gmk,b3648,essential,2.4280183990169473,0.14314988525867248,-0.005490276480932187,RpoD;Nac,Nac
purB,b1131,nonessential,2.555497835899639,0.26708804162702693,0.012009672921889166,PurR;RpoD,PurR
dsbG,b0604,nonessential,2.3016731307209133,0.13424904528623718,-0.0027004346493601722,OxyR;Nac,Nac;OxyR
fucK,b2803,nonessential,2.295661363729777,0.1509456898246077,-0.001140734295271021,Crp;FucR;RpoD,Crp
infA,b0884,essential,3.312646791499088,0.15361614119929812,-0.0028579516474402677,RpoD;YeiE,NA
pstB,b3725,nonessential,3.1183113456537583,0.13065363791810575,-0.012368174099702357,Fnr;IHF;PhoB;RpoS;RpoD,IHF
rcsB,b2217,nonessential,2.9622995056194954,0.11748731828654188,-0.0027263318883544866,H-NS;RpoD,NA
pepT,b1127,nonessential,2.359345895262255,0.1701307611526475,0.003128002684937054,Fnr,NA
yqjI,b3071,nonessential,2.528765410404324,0.18965608553112487,0.0011972958228081035,Fnr;NfeR,NA
asnC,b3743,nonessential,2.466882662134086,0.2166180027823558,-7.699403123645622e-4,AsnC;Nac;RpoD,AsnC;Nac
arcB,b3210,nonessential,2.4232154335958525,0.16133726223869047,0.0057620402517788785,Lrp,Lrp
kdsA,b1215,essential,2.637241007701353,0.1520947162446486,-0.0017841932818013137,RpoD;GlaR;Nac,GlaR;Nac
fklB,b4207,nonessential,2.7622095404122877,0.16248177469745964,0.007588147595503718,Nac,Nac
phnK,b4097,nonessential,2.2388697500727304,0.16311474629389755,9.305085342228702e-4,PhoB;RpoD,NA
astC,b1748,nonessential,2.2699709262762515,0.15615379375874824,0.0016778798259490704,ArgR;NtrC;RpoS;RpoN;RpoD;Lrp;Rob,ArgR;Lrp
prfA,b1211,essential,2.4007885638918873,0.14896347622068537,-2.6529717986195633e-4,ArcA;Fnr;IHF;RpoD,IHF
lysU,b4129,nonessential,2.2594222955596184,0.18909583145569334,0.00242352039808645,Lrp;RpoD;Nac,Lrp;Nac
ppc,b3956,nonessential,2.768096536944637,0.16441511226013925,0.07796654498204016,Cra;Nac,Cra;Nac
nusA,b3169,essential,2.786932361631746,0.13779474806523434,2.3030332473532477e-4,ArgR;Crp;Fis;RpoD;Nac,ArgR;Crp;Fis;Nac
pepD,b0237,nonessential,2.6634373917899428,0.14637444331450616,-0.004923370902134538,CsgD;RpoD;Lrp,Lrp
yafV,b0219,nonessential,2.318666911984269,0.18011261571598422,0.003105672348329406,Nac,Nac
