TU,Prom_TU,Genes_TU,Bnb_TU,ECKnb_TU,Ess_ECKnb_TU,Ess_Gene_TU,Bnb_Promlib,Gene_Promlib
accBC,accBp2,accC;accB,b3256;b3255,ECK3243;ECK3242,ECK3243;ECK3242,accC;accB,b3255,accB
accBC,accBp1,accB;accC,b3255;b3256,ECK3242;ECK3243,ECK3242;ECK3243,accC;accB,b3255,accB
acpP,acpPp,acpP,b1094,ECK1080,ECK1080,acpP,b1094,acpP
acpP-fabF,acpPp,fabF;acpP,b1095;b1094,ECK1081;ECK1080,ECK1080,acpP,b1095;b1094,fabF;acpP
adk,adkp,adk,b0474,ECK0468,ECK0468,adk,b0474,adk
aroKB-damX-dam-rpe-gph-trpS,aroKp1,trpS;gph;rpe;dam;damX;aroB;aroK,b3384;b3385;b3386;b3387;b3388;b3389;b3390,ECK3371;ECK3372;ECK3373;ECK3374;ECK3375;ECK3376;ECK3377,ECK3371,trpS,b3386;b3387;b3388;b3390,aroK;damX;rpe;dam
aroKB-damX-dam-rpe-gph-trpS,aroKp2,trpS;gph;rpe;dam;damX;aroB;aroK,b3384;b3385;b3386;b3387;b3388;b3389;b3390,ECK3371;ECK3372;ECK3373;ECK3374;ECK3375;ECK3376;ECK3377,ECK3371,trpS,b3386;b3387;b3388;b3390,aroK;damX;rpe;dam
asd,NA,asd,b3433,ECK3419,ECK3419,asd,b3433,asd
asnS,asnSp,asnS,b0930,ECK0921,ECK0921,asnS,b0930,asnS
bamA,bamAp1,bamA,b0177,ECK0176,ECK0176,bamA,b0177,bamA
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE,bamAp2,dnaE;rnhB;lpxB;lpxA;fabZ;lpxD;skp;bamA,b0184;b0183;b0182;b0181;b0180;b0179;b0178;b0177,ECK0183;ECK0182;ECK0181;ECK0180;ECK0179;ECK0178;ECK0177;ECK0176,ECK0183;ECK0181;ECK0180;ECK0179;ECK0178;ECK0176,fabZ;lpxA;lpxB;lpxD;bamA;dnaE,b0180;b0178;b0177,fabZ;skp;bamA
