Bnb,Mean_log_gfp,SD_log_gfp,Mean_gfp,SD_gfp,Noise,PromoterEssentiality,TU_containing_EssentialGenes
b0006,0.627,0.1907094,4.6316740000000003,1.9573739999999999,-0.019883189999999999,nonessential,NA
b0007,0.3301723,0.1694088,NA,NA,NA,nonessential,NA
b0008,1.581,0.1077877,39.418559999999999,9.5650750000000002,-0.01639378,nonessential,NA
b0009,0.55,0.1953323,3.8942070000000002,1.674976,-0.01486497,nonessential,NA
b0010,1.434,0.1654523,29.224830000000001,11.729789999999999,0.017801500000000001,nonessential,NA
b0011,0.3343263,0.1728545,NA,NA,NA,nonessential,NA
b0013,0.438,0.1980034,3.0731449999999998,1.442364,0.013549240000000001,nonessential,NA
b0014,1.153,0.1244932,14.8264,4.1655720000000001,-0.024795609999999999,nonessential,NA
b0016,1.864,0.1617372,79.081159999999997,34.312570000000001,0.018494549999999998,nonessential,NA
b0019,0.637,0.2072047,4.8483280000000004,2.1862059999999999,0.0060587949999999996,nonessential,NA
b0023,2.348164,0.17284359999999999,234.03299999999999,50.935470000000002,0.02146354,nonessential,NA
b0028,0.54,0.2105504,3.925805,1.9203170000000001,0.01530749,essential,ileS-lspA-fkpB-ispH;lsp-fkpB-ispH;ribF-ileS-lspA-fkpB-ispH
b0030,0.335377,0.1695705,NA,NA,NA,nonessential,NA
b0037,0.3251443,0.1696545,NA,NA,NA,nonessential,NA
b0040,0.882,0.17517,8.2371359999999996,3.0981930000000002,-0.0052819440000000002,nonessential,NA
b0043,0.3236835,0.1686708,NA,NA,NA,nonessential,NA
b0045,0.3173621,0.1634408,NA,NA,NA,nonessential,NA
b0046,0.728,0.205344,5.9362550000000001,2.6177600000000001,0.01079074,nonessential,NA
b0048,1.586,0.1125923,39.891559999999998,10.254519999999999,-0.013078569999999999,essential,folA
b0056,0.3518903,0.1776818,NA,NA,NA,nonessential,NA
b0059,0.775,0.1677105,6.3958490000000001,2.2712289999999999,-0.03150025,nonessential,NA
b0060,0.738,0.1936255,6.0097149999999999,2.4904090000000001,-0.0029950810000000001,nonessential,NA
b0061,0.3066603,0.1626305,NA,NA,NA,nonessential,NA
b0063,2.54,0.1071896,357.46170000000001,96.112539999999996,-0.0036129370000000001,nonessential,NA
b0064,1.431,0.1507291,28.64967,10.227209999999999,0.0079757549999999993,nonessential,NA
b0065,0.507,0.1971296,3.5356779999999999,1.5692619999999999,-0.0069933549999999997,nonessential,NA
b0069,0.848,0.1662077,7.5472869999999999,2.6985130000000002,-0.021050369999999999,nonessential,NA
b0070,1.04,0.1399462,11.528740000000001,3.6131280000000001,-0.021054929999999999,nonessential,NA
b0077,0.848,0.1818345,7.6878349999999998,2.9953850000000002,-0.0021824449999999999,nonessential,NA
b0091,0.3106711,0.1629536,NA,NA,NA,essential,ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC;mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC;rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
b0096,2.307,0.1356159,214.1183,77.765879999999996,0.0065135369999999998,essential,ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC;lpxC;mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC;rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
b0097,1.6,0.1458931,42.201599999999999,15.63199,0.007962574,essential,secMA-mutT
b0098,0.3297281,0.169821,NA,NA,NA,nonessential,NA
b0099,0.314124,0.1673336,NA,NA,NA,nonessential,NA
b0101,0.724,0.2001276,5.8341430000000001,2.5680170000000002,0.0034456999999999999,nonessential,NA
b0103,1.021,0.1627407,11.211040000000001,4.0487510000000002,-0.00075345480000000003,nonessential,NA
b0104,1.271802,0.1872153,20.239429999999999,8.0711080000000006,0.032037629999999997,nonessential,NA
b0108,0.3222629,0.1675647,NA,NA,NA,nonessential,NA
b0109,0.924,0.1724276,8.9707760000000007,3.407203,-0.002751894,nonessential,NA
b0110,0.837,0.195621,7.5600379999999996,3.1974529999999999,0.01290783,nonessential,NA
b0112,1.722,0.1115376,54.188079999999999,14.310600000000001,-0.01035429,nonessential,NA
b0113,0.365,0.178472,2.5298509999999998,1.073526,0.003136415,nonessential,NA
b0117,0.3419708,0.1720346,NA,NA,NA,nonessential,NA
b0117,0.3429186,0.1734147,NA,NA,NA,nonessential,NA
b0118,1.836,0.1436976,73.098460000000003,28.572040000000001,0.0087774810000000002,nonessential,NA
b0119,0.704,0.2046685,5.6617850000000001,2.5235599999999998,0.0082490240000000006,nonessential,NA
b0121,1.493,0.1439346,32.781500000000001,11.427210000000001,0.0045465879999999998,nonessential,NA
b0123,0.648,0.1981967,4.8961300000000003,2.0865040000000001,-0.0072474879999999998,nonessential,NA
b0126,1.125,0.1671215,14.42695,5.7970649999999999,0.011022519999999999,essential,can
b0127,0.481,0.1962596,3.3507530000000001,1.4889779999999999,-0.0041423830000000003,nonessential,NA
b0131,1.869,0.1453863,77.991309999999999,29.37763,0.0093819999999999997,nonessential,NA
b0134,0.446,0.1912789,3.0807389999999999,1.3587659999999999,-0.005232652,nonessential,NA
b0135,0.939,0.1800504,9.3799370000000035,3.8026749999999998,0.0077074409999999998,nonessential,NA
b0136,0.431,0.191614,2.9789500000000002,1.3181149999999999,0.0025701309999999998,nonessential,NA
b0140,0.392,0.1855275,2.6878470000000001,1.170091,0.0070033109999999999,nonessential,NA
b0141,0.3027673,0.1606502,NA,NA,NA,nonessential,NA
b0143,1.949,0.1423804,94.102689999999996,34.360149999999997,0.007932751,nonessential,NA
b0145,1.326,0.1182819,21.959669999999999,5.937767,-0.019337210000000001,nonessential,NA
b0147,1.196,0.1303994,16.341390000000001,4.951193,-0.016609990000000002,nonessential,NA
b0148,0.82,0.1659832,7.0738960000000004,2.5478010000000002,-0.025912729999999998,nonessential,NA
b0149,0.366,0.1794153,2.5404610000000001,1.076311,0.0051677509999999999,nonessential,NA
b0150,1.075,0.175523,12.7439,5.2969580000000001,0.016115440000000002,nonessential,NA
b0151,0.3217424,0.16855,NA,NA,NA,nonessential,NA
b0154,0.745,0.1866614,5.9882549999999997,2.423899,-0.011451299999999999,essential,hemL
b0155,1.394,0.200855,27.44323,13.210470000000001,0.043047080000000001,nonessential,NA
b0156,1.647,0.1365317,46.773240000000001,15.71468,0.0031800579999999999,essential,erpA
b0157,0.487,0.1969001,3.3965640000000001,1.53287,-0.0033856849999999998,nonessential,NA
b0160,0.86,0.18072,7.8805860000000001,3.1172939999999998,-0.0015972639999999999,nonessential,NA
b0161,0.983,0.1757903,10.389150000000001,4.0248860000000004,0.0083786659999999999,nonessential,NA
b0162,0.469,0.1982204,3.256011,1.47949,0.003078323,nonessential,NA
b0163,0.995,0.149481,10.44356,3.4590670000000001,-0.017555319999999999,nonessential,NA
b0165,0.3496454,0.1783948,NA,NA,NA,nonessential,NA
b0168,1.065,0.1639218,12.355270000000001,4.9382729999999997,0.0041635839999999997,essential,map-glnD-dapD
b0169,2.111,0.1288014,134.86150000000001,45.208100000000002,0.0021859789999999998,essential,rpsB-tsf
b0170,0.3397691,0.1686695,NA,NA,NA,nonessential,NA
b0171,0.943,0.1697552,9.4580500000000001,3.634897,-0.0024324239999999999,essential,pyrH
b0172,1.298,0.1500573,21.019380000000002,7.665184,0.0040031379999999998,essential,frr
b0173,0.3329799,0.1696731,NA,NA,NA,essential,dxr-uppS-cdsA
b0176,0.592,0.1976637,4.3478389999999996,1.878274,-0.01010437,nonessential,NA
b0177,0.3417703,0.171941,NA,NA,NA,essential,bamA;bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
b0178,1.652,0.1057531,46.053539999999998,11.118550000000001,-0.015505730000000001,essential,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE;hlpA-lpxD-fabZ-lpxA
b0180,0.998,0.1316267,10.34653,2.9979279999999999,-0.034216799999999999,essential,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE;fabZ;hlpA-lpxD-fabZ-lpxA
b0188,0.446,0.1887228,3.0864590000000001,1.3398319999999999,-0.009716957,essential,tilS
b0189,1.56,0.1428868,38.167479999999998,12.733610000000001,0.0053362660000000001,nonessential,NA
b0190,0.787,0.1755713,6.6059099999999997,2.4955120000000002,-0.01916636,nonessential,NA
b0194,1.131,0.1326968,14.17501,4.4255050000000002,-0.018702610000000001,essential,proS
b0196,1.37,0.1481067,24.824079999999999,8.5276779999999999,0.0044445910000000003,nonessential,NA
b0199,0.958,0.1553085,9.7189009999999989,3.438294,-0.01624169,nonessential,NA
b0201,2.456,0.1019794,292.74149999999997,70.900790000000001,-0.0065015380000000003,nonessential,NA
b0202,0.2943133,0.1588415,NA,NA,NA,nonessential,NA
b0204,0.746,0.1984546,6.1502689999999998,2.6196959999999998,0.0034415930000000002,nonessential,NA
b0205,0.3205205,0.1688144,NA,NA,NA,nonessential,NA
b0206,0.848,0.1744228,7.5987280000000004,2.914399,-0.011616410000000001,nonessential,NA
b0207,0.447,0.1890199,3.0659480000000001,1.3332029999999999,-0.010037819999999999,nonessential,NA
b0208,0.673,0.1969818,5.2296950000000004,2.1653150000000001,-0.0065004529999999998,nonessential,NA
b0209,1.696,0.1062451,51.174689999999998,12.626189999999999,-0.01440629,nonessential,NA
b0211,1.951,0.168714,96.819090000000003,41.684840000000001,0.021775530000000001,nonessential,NA
b0212,1.512,0.1824497,35.673839999999998,16.07479,0.030104470000000001,nonessential,NA
b0213,0.771,0.186342,6.4404539999999999,2.6100660000000002,-0.0088795669999999997,nonessential,NA
b0214,0.671,0.1861825,5.1131190000000002,2.0167920000000001,-0.02309344,nonessential,NA
b0215,1.221,0.1582151,17.859120000000001,6.7539360000000004,0.0078075560000000002,nonessential,NA
b0217,0.3545641,0.1739776,NA,NA,NA,nonessential,NA
b0218,0.388,0.1788258,2.6557729999999999,1.1091800000000001,-0.0086712730000000002,nonessential,NA
b0219,1.138,0.2105103,15.343859999999999,7.2654019999999999,0.05040211,nonessential,NA
b0221,0.851,0.1994229,7.8131329999999997,3.5081910000000001,0.01823485,nonessential,NA
b0223,0.3022142,0.1605116,NA,NA,NA,nonessential,NA
b0224,1.765,0.1106212,59.801070000000003,15.30579,-0.010186209999999999,nonessential,NA
b0226,1.751,0.1272501,59.235510000000005,18.425000000000001,-0.0012777579999999999,nonessential,NA
b0227,1.847,0.1192055,73.094059999999999,21.278510000000001,-0.0047320740000000002,nonessential,NA
b0228,0.597,0.1990227,4.3610579999999999,1.8807210000000001,-0.0083264740000000004,nonessential,NA
b0229,0.699,0.2278033,5.6208539999999978,2.8732760000000002,0.040655289999999997,nonessential,NA
b0231,0.543,0.2074203,3.9159320000000002,1.821035,0.0075929739999999997,nonessential,NA
b0232,0.602,0.2064654,4.4514849999999999,2.0353020000000002,0.0034243870000000001,nonessential,NA
b0235,0.3352931,0.1735984,NA,NA,NA,nonessential,NA
b0237,1.636,0.1274818,45.284390000000002,13.781040000000001,-0.003113981,nonessential,NA
b0238,1.124,0.1493184,14.112159999999999,5.0644609999999997,-0.0050489660000000002,nonessential,NA
b0240,1.963,0.1306176,96.123050000000006,29.921240000000001,0.0023556639999999999,nonessential,NA
b0242,1.102,0.137239,13.27853,4.1526699999999996,-0.017601450000000001,nonessential,NA
b0245,0.3132341,0.1676511,NA,NA,NA,nonessential,NA
b0247,0.312588,0.1668004,NA,NA,NA,nonessential,NA
b0252,0.3207199,0.172176,NA,NA,NA,nonessential,NA
b0253,0.454,0.1951265,3.1107369999999999,1.391375,0.0010451169999999999,nonessential,NA
b0254,0.3251355,0.1682032,NA,NA,NA,nonessential,NA
b0255,0.5,0.1956728,3.504238,1.55013,-0.0078641530000000005,nonessential,NA
b0257,0.3421038,0.1727036,NA,NA,NA,nonessential,NA
b0259,0.401,0.185234,2.7229969999999999,1.197376,-0.00046031510000000002,nonessential,NA
b0266,0.95,0.1524663,9.4442620000000002,3.1859850000000001,-0.02050478,nonessential,NA
b0268,0.601,0.2442864,4.6625930000000002,2.7272259999999999,0.066644430000000004,nonessential,NA
b0270,0.3167147,0.164812,NA,NA,NA,nonessential,NA
b0272,1.046,0.1259,11.5419,3.2341389999999999,-0.033770370000000001,nonessential,NA
b0273,0.781,0.1763328,6.5412739999999996,2.4846050000000002,-0.02017087,nonessential,NA
b0276,0.3423623,0.1744786,NA,NA,NA,nonessential,NA
b0277,0.809,0.1841451,6.9934339999999997,2.7537039999999999,-0.0056269060000000001,nonessential,NA
b0279,0.36,0.1789697,2.4961989999999998,1.0665789999999999,0.0095297219999999992,nonessential,NA
b0281,1.072,0.1731725,12.67591,5.1218360000000001,0.013115399999999999,nonessential,NA
b0286,0.438,0.1945171,3.0417920000000001,1.353396,0.0066999219999999996,nonessential,NA
b0287,1.356,0.1570303,24.36964,8.9311290000000003,0.010728049999999999,nonessential,NA
b0288,1.007,0.1548985,10.80785,3.758626,-0.01013204,nonessential,NA
b0292,0.3242023,0.1734019,NA,NA,NA,nonessential,NA
b0293,0.3142784,0.1673875,NA,NA,NA,nonessential,NA
b0296,0.465,0.1897438,3.1956639999999998,1.372727,-0.01299034,nonessential,NA
b0297,0.3177932,0.1644429,NA,NA,NA,nonessential,NA
b0298,0.554,0.1988954,3.9595899999999999,1.7497149999999999,-0.0078061759999999997,nonessential,NA
b0300,1.324,0.1651084,22.850090000000002,9.2288250000000005,0.016070870000000001,nonessential,NA
b0303,0.935,0.1936419,9.4122719999999997,4.1862219999999999,0.02220944,nonessential,NA
b0304,0.417,0.187245,2.8425189999999998,1.2262310000000001,-0.0032775069999999998,nonessential,NA
b0305,0.766,0.1950103,6.3955460000000004,2.6822819999999998,0.002113817,nonessential,NA
b0306,0.3374171,0.1704031,NA,NA,NA,nonessential,NA
b0307,0.3448731,0.1731785,NA,NA,NA,nonessential,NA
b0309,0.3218843,0.1678772,NA,NA,NA,nonessential,NA
b0310,0.3210971,0.167386,NA,NA,NA,nonessential,NA
b0313,0.697,0.1979575,5.4895579999999997,2.3135400000000002,-0.0024875409999999998,nonessential,NA
b0314,1.28,0.1528787,20.22925,7.15341,0.0057886429999999996,nonessential,NA
b0316,1.292,0.1529966,20.74363,7.5377720000000004,0.0061437289999999997,nonessential,NA
b0317,0.366,0.1773537,2.5242290000000001,1.0649059999999999,-0.00029672999999999999,nonessential,NA
b0318,0.57,0.2100368,4.1534779999999998,1.958502,0.01093828,nonessential,NA
b0323,0.319378,0.1675949,NA,NA,NA,nonessential,NA
b0325,0.429,0.1887857,2.9204119999999998,1.2809029999999999,-0.0036040899999999999,nonessential,NA
b0327,2.049,0.1626715,120.7829,52.115589999999997,0.018408069999999999,nonessential,NA
b0328,0.386,0.1822372,2.6664819999999998,1.1351500000000001,0.00022848080000000001,nonessential,NA
b0329,0.854,0.1924566,7.8173139999999997,3.2550880000000002,0.010406260000000001,nonessential,NA
b0330,0.811,0.2076519,7.2152719999999997,3.3602970000000001,0.024270300000000002,nonessential,NA
b0331,0.3114362,0.1667873,NA,NA,NA,nonessential,NA
b0332,0.555,0.2152951,4.0353019999999997,1.9407669999999999,0.020974070000000001,nonessential,NA
b0333,0.3327747,0.1715323,NA,NA,NA,nonessential,NA
b0336,1.865,0.24571490000000001,85.988960000000006,57.733440000000002,0.06353143,nonessential,NA
b0338,0.506,0.1955657,3.552292,1.565836,-0.0088167139999999998,nonessential,NA
b0339,0.3412868,0.1709768,NA,NA,NA,nonessential,NA
b0343,0.739,0.2114837,6.1806929999999998,2.8099470000000002,0.02014264,nonessential,NA
b0344,0.892,0.3049246,10.61144,7.450793,0.14189640000000001,nonessential,NA
b0345,1.60238,0.145934,42.079160000000002,12.971220000000001,0.0074442859999999996,nonessential,NA
b0346,1.067,0.1877993,12.66882,5.5085059999999997,0.02681739,nonessential,NA
b0355,0.3115385,0.1647632,NA,NA,NA,nonessential,NA
b0357,0.3277269,0.1692993,NA,NA,NA,nonessential,NA
b0359,0.712,0.2124842,5.7581619999999987,2.664946,0.018901560000000001,nonessential,NA
b0360,0.928,0.1859629,9.2089759999999998,3.7079140000000002,0.012861040000000001,nonessential,NA
b0363,0.805,0.2200727,7.2944500000000003,3.59815,0.038483799999999999,nonessential,NA
b0369,0.754,0.1940633,6.2122780000000004,2.6705869999999998,-0.00083477270000000003,essential,hemB
b0373,0.377,0.1805235,2.5971099999999998,1.108522,0.0031493390000000001,nonessential,NA
b0374,0.385,0.1818738,2.6519029999999999,1.126171,0.00082181840000000001,nonessential,NA
b0376,0.697,0.2016712,5.5326380000000004,2.3972169999999999,0.0032513400000000001,nonessential,NA
b0377,0.428,0.188131,2.916871,1.2455830000000001,-0.0055403429999999997,nonessential,NA
b0378,0.817,0.2036069,7.2479319999999996,3.172161,0.020065929999999999,nonessential,NA
b0379,0.636,0.205995,4.7972450000000002,2.1914709999999999,0.0044393899999999997,nonessential,NA
