# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	01-28-2025
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) regulatorGeneName. Gene(s) coding for the TF
## (4) regulatedId. Regulator ID regulated by the Regulator (regulated Regulator)
## (5) regulatedName. Regulator regulated by the Regulator (regulated Regulator)
## (6) function. Regulatory Function of the Regulator on the regulated Gene (+ activator, - repressor, -+ dual, ? unknown)
## (7) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00014	Lrp	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00017	DnaA	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00018	CsgD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00020	H-NS	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00039	DksA	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00046	CspA	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00053	Fis	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00062	AidB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00077	GadE	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00107	SgrR	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00116	BolA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00187	GadX	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00189	CRP	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00212	LeuO	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITFC00215	MazE	-+	W 
RDBECOLIPDC00328	DicF	dicF	RDBECOLITFC00090	XylR	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLITFC00014	Lrp	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLITFC00020	H-NS	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLITFC00058	RbsR	-	S 
RDBECOLIPDC00706	RpsA	rpsA	RDBECOLITFC00053	Fis	+	W 
RDBECOLIPDC03275	GcvB	gcvB	RDBECOLITFC00014	Lrp	-	S 
RDBECOLIPDC03275	GcvB	gcvB	RDBECOLITFC00018	CsgD	-	W 
RDBECOLIPDC03275	GcvB	gcvB	RDBECOLITFC00058	RbsR	-	W 
RDBECOLIPDC03275	GcvB	gcvB	RDBECOLITFC00166	PhoP	-	S 
RDBECOLIPDC03275	GcvB	gcvB	RDBECOLITFC00216	OxyR	+	W 
RDBECOLIPDC03411	McaS	mcaS	RDBECOLITFC00018	CsgD	-	S 
RDBECOLIPDC03413	GadY	gadY	RDBECOLITFC00023	GadW	+	W 
RDBECOLIPDC03413	GadY	gadY	RDBECOLITFC00187	GadX	+	W 
RDBECOLIPDC03508	MicF	micF	RDBECOLITFC00014	Lrp	-	S 
RDBECOLIPDC03508	MicF	micF	RDBECOLITFC00170	CpxR	-	W 
RDBECOLIPDC03909	OxyS	oxyS	RDBECOLITFC00072	FhlA	-	S 
RDBECOLIPDC04122	ChiX	chiX	RDBECOLITFC00173	DpiA	-	S 
RDBECOLIPDC04132	SgrS	sgrS	RDBECOLITFC00121	PurR	-	S 
RDBECOLIPDC04132	SgrS	sgrS	RDBECOLITFC00176	AdiY	-	S 
RDBECOLIPDC04143	RydC	rydC	RDBECOLITFC00018	CsgD	-	W 
RDBECOLIPDC04149	MgrR	mgrR	RDBECOLITFC00201	SoxS	-	S 
RDBECOLIPDC04150	FnrS	fnrS	RDBECOLITFC00055	IscR	-	S 
RDBECOLIPDC04150	FnrS	fnrS	RDBECOLITFC00074	MarA	-	W 
RDBECOLIPDC04151	ArrS	arrS	RDBECOLITFC00077	GadE	+	W 
RDBECOLIPDC04154	SdsN	sdsN	RDBECOLITFC00085	NarP	-	S 
RDBECOLIPDC04182	C0293	C0293	RDBECOLITFC00092	HcaR	-	S 
RDBECOLIPDC04182	C0293	C0293	RDBECOLITFC00126	FadR	-	S 
RDBECOLIPDC04198	RprA	rprA	RDBECOLITFC00018	CsgD	-	S 
RDBECOLIPDC04198	RprA	rprA	RDBECOLITFC00085	NarP	-	S 
RDBECOLIPDC04198	RprA	rprA	RDBECOLITFC00190	LrhA	-	W 
RDBECOLIPDC04224	RybB	rybB	RDBECOLITFC00018	CsgD	-	S 
RDBECOLIPDC04232	OmrB	omrB	RDBECOLITFC00018	CsgD	-	S 
RDBECOLIPDC04232	OmrB	omrB	RDBECOLITFC00040	OmpR	-	S 
RDBECOLIPDC04277	MicA	micA	RDBECOLITFC00166	PhoP	-	S 
RDBECOLIPDC04278	OmrA	omrA	RDBECOLITFC00018	CsgD	-	S 
RDBECOLIPDC04278	OmrA	omrA	RDBECOLITFC00040	OmpR	-	S 
RDBECOLIPDC04280	ArcZ	arcZ	RDBECOLITFC00190	LrhA	-	W 
RDBECOLIPDC04281	RyhB	ryhB	RDBECOLITFC00055	IscR	-	S 
