1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenesIds	6)tuGenesNames	7)promoterId	8)promoterName	9)promoterPos	10)terminatorIds	11)sigmaFactor	12)tfsIds	13)tfsNames	14)tuGenesBnumber	15)firstGenePos	16)lastGenePos	17)terminatorPositions	18)DBXRef 
RDBECOLITUC00080	yjtD	RDBECOLIOPC02534	yjtD	RDBECOLIGNC02181	yjtD								b4403	4640942	4641628		Ecocyc:TU0-12786 
RDBECOLITUC00081	yaaX	RDBECOLIOPC01342	yaaX	RDBECOLIGNC02977	yaaX								b0005	5234	5530		Ecocyc:TU0-12787 
RDBECOLITUC00082	yaaA	RDBECOLIOPC00450	yaaA	RDBECOLIGNC00009	yaaA								b0006	6459	5683		Ecocyc:TU0-12788 
RDBECOLITUC00083	yaaJ	RDBECOLIOPC02096	yaaJ	RDBECOLIGNC01507	yaaJ								b0007	7959	6529		Ecocyc:TU0-12789 
RDBECOLITUC00084	mog	RDBECOLIOPC01056	mog	RDBECOLIGNC01466	mog								b0009	9306	9893		Ecocyc:TU0-12790 
RDBECOLITUC00085	satP	RDBECOLIOPC00177	satP	RDBECOLIGNC01467	satP								b0010	10494	9928		Ecocyc:TU0-12791 
RDBECOLITUC00086	yaaW	RDBECOLIOPC01733	yaaW	RDBECOLIGNC02978	yaaW								b0011	11356	10643		Ecocyc:TU0-12792 
RDBECOLITUC00087	insL1	RDBECOLIOPC00770	insL1	RDBECOLIGNC02979	insL1								b0016	15445	16557		Ecocyc:TU0-12793 
RDBECOLITUC00088	mokC-hokC	RDBECOLIOPC02452	mokC-hokC	RDBECOLIGNC00366,RDBECOLIGNC02930	mokC;hokC								b0018;b4412	16960	16751		Ecocyc:TU0-12794 
RDBECOLITUC00089	sokC	RDBECOLIOPC01382	sokC	RDBECOLIGNC02931	sokC	RDBECOLIPMC02611	sokCp	16952		sigma70			b4413	16952	17010		Ecocyc:TU0-12795 
RDBECOLITUC00090	insA1B1AB1	RDBECOLIOPC00490	insA1B1AB1	RDBECOLIGNC02982,RDBECOLIGNC02981,RDBECOLIGNC02621	insA1;insB1;insAB1								b0022;b0021	20508	19811		Ecocyc:TU0-12796 
RDBECOLITUC00091	rihC	RDBECOLIOPC02029	rihC	RDBECOLIGNC01069	rihC								b0030	27293	28207		Ecocyc:TU0-12797 
RDBECOLITUC00092	yaaU	RDBECOLIOPC01014	yaaU	RDBECOLIGNC01518	yaaU	RDBECOLIPMC00325	yaaUp	45592		sigma54			b0045	45807	47138		Ecocyc:TU0-12799 
RDBECOLITUC00093	kefFC	RDBECOLIOPC00218	kefFC	RDBECOLIGNC00513,RDBECOLIGNC01519	kefC;kefF								b0047;b0046	47246	49631		Ecocyc:TU0-12800 
RDBECOLITUC00094	djlA	RDBECOLIOPC01669	djlA	RDBECOLIGNC01521	djlA								b0055	57364	58179		Ecocyc:TU0-12801 
RDBECOLITUC00095	yabPQ	RDBECOLIOPC00717	yabPQ	RDBECOLIGNC02328,RDBECOLIGNC02327	yabQ;yabP								b0057;b0056	58474	59279		Ecocyc:TU0-12802 
RDBECOLITUC00096	yabI	RDBECOLIOPC02514	yabI	RDBECOLIGNC01522	yabI	RDBECOLIPMC03274	yabIp	71271		sigma38			b0065	71351	72115		Ecocyc:TU0-12804 
RDBECOLITUC00097	sgrR-sroA-thiBPQ	RDBECOLIOPC03264	sgrR-sroA-thiBPQ	RDBECOLIGNC01995,RDBECOLIGNC02919,RDBECOLIGNC01525,RDBECOLIGNC01524,RDBECOLIGNC01523	sgrR;sroA;thiB;thiP;thiQ	RDBECOLIPMC03083	sgrRp	77338		sigma70	RDBECOLITFC00039,RDBECOLITFC00107	DksA,SgrR	b0069;b4762;b0068;b0067;b0066	77299	72229		Ecocyc:TU0-12805 
