# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	01-28-2025
## Columns:
## (1) Operon ID
#(2) Operon name
## (3) First gene-position left
## (4) Last gene-position right
## (5) DNA strand where the operon is coded
## (6) Number of genes contained in the operon
## (7) Name or Blattner number of the gene(s) contained in the operon
## (8) Evidence that support the existence of the operon's TUs
## (9) Evidence confidence level (Confirmed, Strong, Weak)
1)operonId	2)operonName	3)firstGeneLeftPos	4)lastGeneRightPos	5)strand	6)numberOfGenes	7)operonGenes	8)operonEvidence	9)confidenceLevel 
RDBECOLIOPC00001	ispDF	2871301	2872490	reverse	2	ispD;ispF	[COMP-HINF:W][IC-ADJ-GENES-SAME-BIO-PROCESS:W]	W 
RDBECOLIOPC00002	serX	1097565	1097652	reverse	1	serX	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00003	ybjS	905740	906753	reverse	1	ybjS	[COMP-AINF:W]	W 
RDBECOLIOPC00004	insJ	3720680	3721201	forward	1	insJ	[COMP-HINF:W]	W 
RDBECOLIOPC00005	murJ	1127839	1129374	forward	1	murJ	[COMP-AINF:W]	W 
RDBECOLIOPC00006	folA	49823	50302	forward	1	folA	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00007	ybaB-recR	494076	495010	forward	2	ybaB;recR	[COMP-AINF:W]	W 
RDBECOLIOPC00008	mtfA	2043651	2044448	forward	1	mtfA	[COMP-AINF:W]	W 
RDBECOLIOPC00009	yiaU	3751992	3752966	forward	1	yiaU	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00010	ytjB-lplA	4623101	4624789	reverse	2	ytjB;lplA	[COMP-AINF:W]	W 
RDBECOLIOPC00011	yraIJK	3288090	3292432	forward	3	yraI;yraJ;yraK	[COMP-AINF:W]	W 
RDBECOLIOPC00012	yohJK	2230624	2231714	forward	2	yohJ;yohK	[COMP-AINF:W]	W 
RDBECOLIOPC00013	argD	3488960	3490180	reverse	1	argD		 
RDBECOLIOPC00014	yphH	2682863	2684056	forward	1	yphH	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00015	CsiR	2795674	2796336	forward	1	glaR		 
RDBECOLIOPC00016	rpnA	3543167	3544045	forward	1	rpnA	[COMP-AINF:W]	W 
RDBECOLIOPC00017	proL	2286211	2286287	forward	1	proL	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00018	rhtA	849210	850097	reverse	1	rhtA	[COMP-AINF:W]	W 
RDBECOLIOPC00019	cusCFBA	595600	601857	forward	4	cusC;cusF;cusB;cusA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00020	insH-2	574737	575717	reverse	1	insH2	[COMP-HINF:W]	W 
RDBECOLIOPC00021	leuE	1880121	1880759	reverse	1	leuE	[COMP-AINF:W]	W 
RDBECOLIOPC00022	efeOB	1082243	1084647	forward	2	efeO;efeB	[COMP-AINF:W]	W 
RDBECOLIOPC00023	chiA	3467160	3469853	reverse	1	chiA	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00024	yhbP	3299472	3299915	reverse	1	yhbP	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00025	ygjQ	3236540	3237232	forward	1	ygjQ	[COMP-AINF:W]	W 
RDBECOLIOPC00026	purA	4404687	4405985	forward	1	purA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00027	yehE	2192515	2192796	reverse	1	yehE	[COMP-AINF:W]	W 
RDBECOLIOPC00028	ymfI	1201497	1201838	forward	1	ymfI	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00029	yhfA	3485414	3485818	reverse	1	yhfA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00030	acrZ	794773	794922	forward	1	acrZ	[COMP-AINF:W]	W 
RDBECOLIOPC00031	fdhF	4297219	4299366	reverse	1	fdhF		 
RDBECOLIOPC00032	diaA	3295809	3296399	forward	1	diaA	[COMP-HINF:W]	W 
RDBECOLIOPC00033	ssrA	2755593	2755955	forward	1	ssrA	[COMP-AINF:W]	W 
RDBECOLIOPC00034	caiF	34300	34695	forward	1	caiF	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00035	mgsA	1026557	1027015	reverse	1	mgsA	[COMP-AINF:W]	W 
RDBECOLIOPC00036	ptrB	1926779	1928839	reverse	1	ptrB	[COMP-AINF:W]	W 
RDBECOLIOPC00037	ybdH	632389	633477	reverse	1	hcxA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00038	sroG-ribB	3183813	3184718	reverse	2	sroG;ribB	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00039	hemN	4052045	4053418	forward	1	hemN	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00040	asmA	2139759	2141612	reverse	1	asmA	[COMP-AINF:W]	W 
RDBECOLIOPC00041	yncJ	1508834	1509064	reverse	1	yncJ	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00042	ybfA	729134	729340	forward	1	ybfA	[COMP-AINF:W]	W 
RDBECOLIOPC00043	ycaM	947229	948659	forward	1	ycaM	[COMP-AINF:W]	W 
RDBECOLIOPC00045	yafF	239190	239378	forward	1	yafF	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00046	rimL	1498938	1499477	forward	1	rimL	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00047	yeeP	2070786	2071211	forward	1	yeeP	[COMP-AINF:W]	W 
RDBECOLIOPC00048	yidX	3875438	3876094	forward	1	yidX	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00049	yhbX	3319988	3321613	reverse	1	yhbX	[COMP-AINF:W]	W 
