ACCID,DB,Feature,Start,End,misc1,Strand,misc2,Notes,gene_synonym,ECKnb,JWnb,Bnb,locus_tag,GeneID,Parent,ID,gbkey,gene_biotype,gene,product
AP009048.1,DDBJ,CDS,190,255,.,+,0,ID=cds-BAE76026.1;Parent=gene-thrL;Dbxref=NCBI_GP:BAE76026.1;Name=BAE76026.1;Note=ECK0001:JW4367:b0001;gbkey=CDS;gene=thrL;product=thr operon leader peptide;protein_id=BAE76026.1;transl_table=11,ECK0001:JW4367:b0001,ECK0001,JW4367,b0001,NA,NA,gene-thrL,cds-BAE76026.1,CDS,protein_coding,thrL,thr operon leader peptide
AP009048.1,DDBJ,CDS,337,2799,.,+,0,ID=cds-BAB96579.2;Parent=gene-thrA;Dbxref=NCBI_GP:BAB96579.2;Name=BAB96579.2;Note=ECK0002:JW0001:b0002;gbkey=CDS;gene=thrA;product=fused aspartokinase I and homoserine dehydrogenase I;protein_id=BAB96579.2;transl_table=11,ECK0002:JW0001:b0002,ECK0002,JW0001,b0002,NA,NA,gene-thrA,cds-BAB96579.2,CDS,protein_coding,thrA,fused aspartokinase I and homoserine dehydrogenase I
AP009048.1,DDBJ,CDS,2801,3733,.,+,0,ID=cds-BAB96580.2;Parent=gene-thrB;Dbxref=NCBI_GP:BAB96580.2;Name=BAB96580.2;Note=ECK0003:JW0002:b0003;gbkey=CDS;gene=thrB;product=homoserine kinase;protein_id=BAB96580.2;transl_table=11,ECK0003:JW0002:b0003,ECK0003,JW0002,b0003,NA,NA,gene-thrB,cds-BAB96580.2,CDS,protein_coding,thrB,homoserine kinase
AP009048.1,DDBJ,CDS,3734,5020,.,+,0,ID=cds-BAB96581.1;Parent=gene-thrC;Dbxref=NCBI_GP:BAB96581.1;Name=BAB96581.1;Note=ECK0004:JW0003:b0004;gbkey=CDS;gene=thrC;product=threonine synthase;protein_id=BAB96581.1;transl_table=11,ECK0004:JW0003:b0004,ECK0004,JW0003,b0004,NA,NA,gene-thrC,cds-BAB96581.1,CDS,protein_coding,thrC,threonine synthase
AP009048.1,DDBJ,CDS,5234,5530,.,+,0,ID=cds-BAB96582.1;Parent=gene-yaaX;Dbxref=NCBI_GP:BAB96582.1;Name=BAB96582.1;Note=ECK0005:JW0004:b0005;gbkey=CDS;gene=yaaX;product=hypothetical protein;protein_id=BAB96582.1;transl_table=11,ECK0005:JW0004:b0005,ECK0005,JW0004,b0005,NA,NA,gene-yaaX,cds-BAB96582.1,CDS,protein_coding,yaaX,hypothetical protein
AP009048.1,DDBJ,CDS,5683,6459,.,-,0,ID=cds-BAB96584.1;Parent=gene-yaaA;Dbxref=NCBI_GP:BAB96584.1;Name=BAB96584.1;Note=ECK0006:JW0005:b0006;gbkey=CDS;gene=yaaA;product=conserved hypothetical protein;protein_id=BAB96584.1;transl_table=11,ECK0006:JW0005:b0006,ECK0006,JW0005,b0006,NA,NA,gene-yaaA,cds-BAB96584.1,CDS,protein_coding,yaaA,conserved hypothetical protein
AP009048.1,DDBJ,CDS,6529,7959,.,-,0,ID=cds-BAB96585.1;Parent=gene-yaaJ;Dbxref=NCBI_GP:BAB96585.1;Name=BAB96585.1;Note=ECK0007:JW0006:b0007;gbkey=CDS;gene=yaaJ;product=predicted transporter;protein_id=BAB96585.1;transl_table=11,ECK0007:JW0006:b0007,ECK0007,JW0006,b0007,NA,NA,gene-yaaJ,cds-BAB96585.1,CDS,protein_coding,yaaJ,predicted transporter
AP009048.1,DDBJ,CDS,8238,9191,.,+,0,ID=cds-BAB96586.1;Parent=gene-talB;Dbxref=NCBI_GP:BAB96586.1;Name=BAB96586.1;Note=ECK0008:JW0007:b0008;gbkey=CDS;gene=talB;product=transaldolase B;protein_id=BAB96586.1;transl_table=11,ECK0008:JW0007:b0008,ECK0008,JW0007,b0008,NA,NA,gene-talB,cds-BAB96586.1,CDS,protein_coding,talB,transaldolase B
AP009048.1,DDBJ,CDS,9306,9893,.,+,0,ID=cds-BAB96587.2;Parent=gene-mog;Dbxref=NCBI_GP:BAB96587.2;Name=BAB96587.2;Note=ECK0009:JW0008:b0009;gbkey=CDS;gene=mog;product=predicted molybdochelatase;protein_id=BAB96587.2;transl_table=11,ECK0009:JW0008:b0009,ECK0009,JW0008,b0009,NA,NA,gene-mog,cds-BAB96587.2,CDS,protein_coding,mog,predicted molybdochelatase
AP009048.1,DDBJ,CDS,9928,10494,.,-,0,ID=cds-BAB96588.2;Parent=gene-yaaH;Dbxref=NCBI_GP:BAB96588.2;Name=BAB96588.2;Note=ECK0010:JW0009:b0010;gbkey=CDS;gene=yaaH;product=conserved inner membrane protein associated with acetate transport;protein_id=BAB96588.2;transl_table=11,ECK0010:JW0009:b0010,ECK0010,JW0009,b0010,NA,NA,gene-yaaH,cds-BAB96588.2,CDS,protein_coding,yaaH,conserved inner membrane protein associated with acetate transport
AP009048.1,DDBJ,CDS,10643,11356,.,-,0,ID=cds-BAE76027.1;Parent=gene-yaaW;Dbxref=NCBI_GP:BAE76027.1;Name=BAE76027.1;Note=ECK0011:JW0010:b0011;gbkey=CDS;gene=yaaW;product=conserved hypothetical protein;protein_id=BAE76027.1;transl_table=11,ECK0011:JW0010:b0011,ECK0011,JW0010,b0011,NA,NA,gene-yaaW,cds-BAE76027.1,CDS,protein_coding,yaaW,conserved hypothetical protein
AP009048.1,DDBJ,CDS,10830,11315,.,+,0,ID=cds-BAE76028.1;Parent=gene-htgA;Dbxref=NCBI_GP:BAE76028.1;Name=BAE76028.1;Note=ECK0012:JW5001:b0012;gbkey=CDS;gene=htgA;product=hypothetical protein;protein_id=BAE76028.1;transl_table=11,ECK0012:JW5001:b0012,ECK0012,JW5001,b0012,NA,NA,gene-htgA,cds-BAE76028.1,CDS,protein_coding,htgA,hypothetical protein
AP009048.1,DDBJ,CDS,11382,11786,.,-,0,ID=cds-BAE76029.1;Parent=gene-yaaI;Dbxref=NCBI_GP:BAE76029.1;Name=BAE76029.1;Note=ECK0013:JW0012:b0013;gbkey=CDS;gene=yaaI;product=hypothetical protein;protein_id=BAE76029.1;transl_table=11,ECK0013:JW0012:b0013,ECK0013,JW0012,b0013,NA,NA,gene-yaaI,cds-BAE76029.1,CDS,protein_coding,yaaI,hypothetical protein
AP009048.1,DDBJ,CDS,12163,14079,.,+,0,ID=cds-BAB96589.1;Parent=gene-dnaK;Dbxref=NCBI_GP:BAB96589.1;Name=BAB96589.1;Note=ECK0014:JW0013:b0014;gbkey=CDS;gene=dnaK;product=chaperone Hsp70%2C co-chaperone with DnaJ;protein_id=BAB96589.1;transl_table=11,ECK0014:JW0013:b0014,ECK0014,JW0013,b0014,NA,NA,gene-dnaK,cds-BAB96589.1,CDS,protein_coding,dnaK,chaperone Hsp70%2C co-chaperone with DnaJ
AP009048.1,DDBJ,CDS,14168,15298,.,+,0,ID=cds-BAB96590.1;Parent=gene-dnaJ;Dbxref=NCBI_GP:BAB96590.1;Name=BAB96590.1;Note=ECK0015:JW0014:b0015;gbkey=CDS;gene=dnaJ;product=chaperone Hsp40%2C co-chaperone with DnaK;protein_id=BAB96590.1;transl_table=11,ECK0015:JW0014:b0015,ECK0015,JW0014,b0015,NA,NA,gene-dnaJ,cds-BAB96590.1,CDS,protein_coding,dnaJ,chaperone Hsp40%2C co-chaperone with DnaK
AP009048.1,DDBJ,CDS,15445,16557,.,+,0,ID=cds-BAE76030.1;Parent=gene-insL;Dbxref=NCBI_GP:BAE76030.1;Name=BAE76030.1;Note=ECK0016:JW0015:b0016;gbkey=CDS;gene=insL;product=IS186/IS421 transposase;protein_id=BAE76030.1;transl_table=11,ECK0016:JW0015:b0016,ECK0016,JW0015,b0016,NA,NA,gene-insL,cds-BAE76030.1,CDS,protein_coding,insL,IS186/IS421 transposase
AP009048.1,DDBJ,CDS,16751,16960,.,-,0,ID=cds-BAB96591.1;Parent=gene-mokC;Dbxref=NCBI_GP:BAB96591.1;Name=BAB96591.1;Note=ECK0018:JW5879:b0018;gbkey=CDS;gene=mokC;product=regulatory protein for HokC%2C overlaps CDS of hokC;protein_id=BAB96591.1;transl_table=11,ECK0018:JW5879:b0018,ECK0018,JW5879,b0018,NA,NA,gene-mokC,cds-BAB96591.1,CDS,protein_coding,mokC,regulatory protein for HokC%2C overlaps CDS of hokC
AP009048.1,DDBJ,CDS,16751,16903,.,-,0,ID=cds-BAE76031.1;Parent=gene-hokC;Dbxref=NCBI_GP:BAE76031.1;Name=BAE76031.1;Note=ECK0017:JW5002:b4412;gbkey=CDS;gene=hokC;product=toxic membrane protein%2C small;protein_id=BAE76031.1;transl_table=11,ECK0017:JW5002:b4412,ECK0017,JW5002,b4412,NA,NA,gene-hokC,cds-BAE76031.1,CDS,protein_coding,hokC,toxic membrane protein%2C small
AP009048.1,DDBJ,transcript,16952,17006,.,+,.,ID=rna-sokC;Parent=gene-sokC;Note=ECK0019:JWR0224:b4413;gbkey=misc_RNA;gene=sokC;product=regulatory antisense RNA,ECK0019:JWR0224:b4413,ECK0019,JWR0224,b4413,NA,NA,gene-sokC,rna-sokC,misc_RNA,misc_RNA,sokC,regulatory antisense RNA
AP009048.1,DDBJ,exon,16952,17006,.,+,.,ID=exon-sokC-1;Parent=rna-sokC;Note=ECK0019:JWR0224:b4413;gbkey=misc_RNA;gene=sokC;product=regulatory antisense RNA,ECK0019:JWR0224:b4413,ECK0019,JWR0224,b4413,NA,NA,rna-sokC,exon-sokC-1,misc_RNA,misc_RNA,sokC,regulatory antisense RNA
AP009048.1,DDBJ,CDS,17489,18655,.,+,0,ID=cds-BAB96592.1;Parent=gene-nhaA;Dbxref=NCBI_GP:BAB96592.1;Name=BAB96592.1;Note=ECK0020:JW0018:b0019;gbkey=CDS;gene=nhaA;product=sodium-proton antiporter;protein_id=BAB96592.1;transl_table=11,ECK0020:JW0018:b0019,ECK0020,JW0018,b0019,NA,NA,gene-nhaA,cds-BAB96592.1,CDS,protein_coding,nhaA,sodium-proton antiporter
AP009048.1,DDBJ,CDS,18715,19620,.,+,0,ID=cds-BAE76032.1;Parent=gene-nhaR;Dbxref=NCBI_GP:BAE76032.1;Name=BAE76032.1;Note=ECK0021:JW0019:b0020;gbkey=CDS;gene=nhaR;product=DNA-binding transcriptional activator;protein_id=BAE76032.1;transl_table=11,ECK0021:JW0019:b0020,ECK0021,JW0019,b0020,NA,NA,gene-nhaR,cds-BAE76032.1,CDS,protein_coding,nhaR,DNA-binding transcriptional activator
AP009048.1,DDBJ,CDS,19811,20314,.,-,0,ID=cds-BAE76033.1;Parent=gene-insB;Dbxref=NCBI_GP:BAE76033.1;Name=BAE76033.1;Note=ECK0022:JW0020:b0021;gbkey=CDS;gene=insB;product=IS1 transposase InsAB';protein_id=BAE76033.1;transl_table=11,ECK0022:JW0020:b0021,ECK0022,JW0020,b0021,NA,NA,gene-insB,cds-BAE76033.1,CDS,protein_coding,insB,IS1 transposase InsAB'
AP009048.1,DDBJ,CDS,20233,20508,.,-,0,ID=cds-BAE76034.1;Parent=gene-insA;Dbxref=NCBI_GP:BAE76034.1;Name=BAE76034.1;Note=ECK0023:JW0021:b0022;gbkey=CDS;gene=insA;product=IS1 repressor protein InsA;protein_id=BAE76034.1;transl_table=11,ECK0023:JW0021:b0022,ECK0023,JW0021,b0022,NA,NA,gene-insA,cds-BAE76034.1,CDS,protein_coding,insA,IS1 repressor protein InsA
AP009048.1,DDBJ,CDS,20815,21078,.,-,0,ID=cds-BAB96593.1;Parent=gene-rpsT;Dbxref=NCBI_GP:BAB96593.1;Name=BAB96593.1;Note=ECK0024:JW0022:b0023;gbkey=CDS;gene=rpsT;product=30S ribosomal subunit protein S20;protein_id=BAB96593.1;transl_table=11,ECK0024:JW0022:b0023,ECK0024,JW0022,b0023,NA,NA,gene-rpsT,cds-BAB96593.1,CDS,protein_coding,rpsT,30S ribosomal subunit protein S20
AP009048.1,DDBJ,CDS,21181,21399,.,+,0,ID=cds-BAE76035.1;Parent=gene-yaaY;Dbxref=NCBI_GP:BAE76035.1;Name=BAE76035.1;Note=ECK0025:JW5003:b0024;gbkey=CDS;gene=yaaY;product=hypothetical protein;protein_id=BAE76035.1;transl_table=11,ECK0025:JW5003:b0024,ECK0025,JW5003,b0024,NA,NA,gene-yaaY,cds-BAE76035.1,CDS,protein_coding,yaaY,hypothetical protein
AP009048.1,DDBJ,CDS,21407,22348,.,+,0,ID=cds-BAB96594.2;Parent=gene-ribF;Dbxref=NCBI_GP:BAB96594.2;Name=BAB96594.2;Note=ECK0026:JW0023:b0025;gbkey=CDS;gene=ribF;product=bifunctional riboflavin kinase and FAD synthetase;protein_id=BAB96594.2;transl_table=11,ECK0026:JW0023:b0025,ECK0026,JW0023,b0025,NA,NA,gene-ribF,cds-BAB96594.2,CDS,protein_coding,ribF,bifunctional riboflavin kinase and FAD synthetase
AP009048.1,DDBJ,CDS,22391,25207,.,+,0,ID=cds-BAB96595.2;Parent=gene-ileS;Dbxref=NCBI_GP:BAB96595.2;Name=BAB96595.2;Note=ECK0027:JW0024:b0026;gbkey=CDS;gene=ileS;product=isoleucyl-tRNA synthetase;protein_id=BAB96595.2;transl_table=11,ECK0027:JW0024:b0026,ECK0027,JW0024,b0026,NA,NA,gene-ileS,cds-BAB96595.2,CDS,protein_coding,ileS,isoleucyl-tRNA synthetase
AP009048.1,DDBJ,CDS,25207,25701,.,+,0,ID=cds-BAB96596.1;Parent=gene-lspA;Dbxref=NCBI_GP:BAB96596.1;Name=BAB96596.1;Note=ECK0028:JW0025:b0027%3B~signal peptidase II;gbkey=CDS;gene=lspA;product=prolipoprotein signal peptidase;protein_id=BAB96596.1;transl_table=11,ECK0028:JW0025:b0027%3B~signal peptidase II,ECK0028,JW0025,b0027,NA,NA,gene-lspA,cds-BAB96596.1,CDS,protein_coding,lspA,prolipoprotein signal peptidase
AP009048.1,DDBJ,CDS,25826,26275,.,+,0,ID=cds-BAB96597.1;Parent=gene-fkpB;Dbxref=NCBI_GP:BAB96597.1;Name=BAB96597.1;Note=ECK0029:JW0026:b0028%3B~rotamase;gbkey=CDS;gene=fkpB;product=FKBP-type peptidyl-prolyl cis-trans isomerase;protein_id=BAB96597.1;transl_table=11,ECK0029:JW0026:b0028%3B~rotamase,ECK0029,JW0026,b0028,NA,NA,gene-fkpB,cds-BAB96597.1,CDS,protein_coding,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase
AP009048.1,DDBJ,CDS,26277,27227,.,+,0,ID=cds-BAB96598.1;Parent=gene-ispH;Dbxref=NCBI_GP:BAB96598.1;Name=BAB96598.1;Note=ECK0030:JW0027:b0029;gbkey=CDS;gene=ispH;product=1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase%2C 4Fe-4S protein;protein_id=BAB96598.1;transl_table=11,ECK0030:JW0027:b0029,ECK0030,JW0027,b0029,NA,NA,gene-ispH,cds-BAB96598.1,CDS,protein_coding,ispH,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase%2C 4Fe-4S protein
