# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	01-28-2025
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) regulatorGeneName. Gene(s) coding for the TF
## (4) regulatedId. Transcription Unit ID regulated by the TF (regulated Transcription Unit)
## (5) regulatedName. Transcription Unit regulated by the TF (regulated Transcription Unit)
## (6) function. Regulatory Function of the TF on the regulated Transcription Unit (+ activator, - repressor, +- dual, ? unknown)
## (7) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00097	sgrR-sroA-thiBPQ[sgrRp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00099	leuO[leuOp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00195	iraP[iraPp1]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00217	ybaA[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00259	ybdK[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00307	ybgS[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00317	ybhP-clsB-ybhN[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00352	ycaP[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00366	yccT[yccTp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00379	wrbA-yccJ[wrbAp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00395	grxB[grxBp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00399	rluC[]	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00474	uspE[uspEp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00511	ydcL[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00521	curA[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00533	adhP[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00546	tam[tamp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00580	ynfD[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00598	sodC[sodCp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00608	ldtE[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00624	yniA[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00645	yeaQ[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00654	yoaC[yoaCp1]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00667	yebV[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00676	yebF[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00683	argS[argSp]	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00701	hchA[hchAp1]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00734	yegP[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00746	yehE[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00758	yohC[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00784	yojI[yojIp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00795	elaB[elaBp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00820	yfcZ[yfcZp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00920	kbp[kbpp4]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00921	yqaE[yqaEp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC00928	None[csrAp3]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01027	None[dkgAp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01064	yqjF[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01100	yhcO[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01150	dtpB[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01219	mioC[mioCp]	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01291	yjbJ[]	+	? 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01333	cysQ[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01341	yjgH[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01382	prfC[prfCp]	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01392	qorA[qorAp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01397	yghA[]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01411	ftsZ[ftsZp3]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01419	ftsZ[ftsZp4]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01423	relA-mazEF[relAp2]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01521	crp[crpp2]	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01549	ftsK[ftsKp1]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01586	yajO[yajOp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01595	cadA[cadAp]	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01619	yaiA-aroM[yaiAp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01701	dksA-yadB[dksAp2]	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01702	ecnB[ecnBp]	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLITUC01744	iraD[iraDp1]	+	W 
