# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	01-28-2025
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonId. Operon Id containing the transcription unit
## (4) operonName. Operon name containing the transcription unit
## (5) tuGenes. Name of the gene(s) contained in the transcription unit
## (6) pmName. Promoter Name
## (7) terminatorIds. Ids of the terminators associated to transcription unit
## (8) tuEvidence. Evidence that supports the existence of the transcription unit
## (9) addEvidence. Additive Evidence [CV(EvidenceCode1/EvidenceCodeN)|Confidence Level]
## (10) confidenceLevel. TU confidence level (Values: Confirmed, Strong, Weak)
## (11) pmids associated to object
1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenes	6)pmName	7)terminatorIds	8)tuEvidence	9)addEvidence	10)confidenceLevel	11)pmids 
RDBECOLITUC00080	yjtD	RDBECOLIOPC02534	yjtD	yjtD;			[COMP-AINF:W]		W	 
RDBECOLITUC00081	yaaX	RDBECOLIOPC01342	yaaX	yaaX;			[COMP-AINF:W]		W	23421615 
RDBECOLITUC00082	yaaA	RDBECOLIOPC00450	yaaA	yaaA;			[COMP-AINF:W]		W	21378183 
RDBECOLITUC00083	yaaJ	RDBECOLIOPC02096	yaaJ	yaaJ;			[COMP-AINF:W]		W	 
RDBECOLITUC00084	mog	RDBECOLIOPC01056	mog	mog;			[COMP-AINF:W]		W	 
RDBECOLITUC00085	satP	RDBECOLIOPC00177	satP	satP;			[COMP-AINF:W]		W	 
RDBECOLITUC00086	yaaW	RDBECOLIOPC01733	yaaW	yaaW;			[COMP-AINF:W]		W	 
RDBECOLITUC00087	insL1	RDBECOLIOPC00770	insL1	insL1;			[COMP-AINF:W]		W	34475859 
RDBECOLITUC00088	mokC-hokC	RDBECOLIOPC02452	mokC-hokC	mokC;hokC;			[COMP-AINF:W]		W	34475859 
RDBECOLITUC00089	sokC	RDBECOLIOPC01382	sokC	sokC;	sokCp		[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		S	15718303 
RDBECOLITUC00090	insA1B1AB1	RDBECOLIOPC00490	insA1B1AB1	insA1;insB1;insAB1;			[COMP-AINF:W]		W	 
RDBECOLITUC00091	rihC	RDBECOLIOPC02029	rihC	rihC;			[COMP-AINF:W]		W	 
RDBECOLITUC00092	yaaU	RDBECOLIOPC01014	yaaU	yaaU;	yaaUp		[COMP-AINF:W]		W	 
RDBECOLITUC00093	kefFC	RDBECOLIOPC00218	kefFC	kefC;kefF;			[COMP-AINF:W]		W	 
RDBECOLITUC00094	djlA	RDBECOLIOPC01669	djlA	djlA;			[COMP-AINF:W]		W	 
RDBECOLITUC00095	yabPQ	RDBECOLIOPC00717	yabPQ	yabQ;yabP;			[COMP-AINF:W]		W	 
RDBECOLITUC00096	yabI	RDBECOLIOPC02514	yabI	yabI;	yabIp		[COMP-AINF:W]		W	31992590 
RDBECOLITUC00097	sgrR-sroA-thiBPQ	RDBECOLIOPC03264	sgrR-sroA-thiBPQ	sgrR;sroA;thiB;thiP;thiQ;	sgrRp		[COMP-AINF:W]		W	17209026;15522088 
RDBECOLITUC00098	sgrST-setA	RDBECOLIOPC02626	sgrST-setA	sgrT;setA;sgrS;	sgrSp		[COMP-AINF-SINGLE-DIRECTON:W][EXP-IEP-COREGULATION:W][COMP-AINF:W]		W	15522088;20971900;17209026 
RDBECOLITUC00099	leuO	RDBECOLIOPC03100	leuO	leuO;	leuOp		[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]		S	15582999;32571968;28252809;18055596 
RDBECOLITUC00100	cra	RDBECOLIOPC01049	cra	cra;	fruRp8		[COMP-AINF:W]		W	23274360;21272324 
RDBECOLITUC00101	lpxC	RDBECOLIOPC03591	mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	lpxC;	lpxCp1	RDBECOLITMC00053	[COMP-AINF:W]		W	 
RDBECOLITUC00102	coaE-zapD-yacG	RDBECOLIOPC01722	coaE-zapD-yacG	coaE;zapD;yacG;			[COMP-AINF:W]		W	 
RDBECOLITUC00103	ppdD-hofBC	RDBECOLIOPC02432	ppdD-hofBC	ppdD;hofB;hofC;	ppdDp		[COMP-AINF:W]		W	 
RDBECOLITUC00104	nadC	RDBECOLIOPC01370	nadC	nadC;	nadCp		[COMP-AINF:W]		W	31964733 
RDBECOLITUC00105	yacL	RDBECOLIOPC00475	yacL	yacL;	yacLp		[COMP-AINF:W]		W	 
RDBECOLITUC00106	yadGH	RDBECOLIOPC02012	yadGH	yadH;yadG;			[COMP-AINF:W]		W	 
RDBECOLITUC00107	yadI	RDBECOLIOPC00999	yadI	yadI;			[COMP-AINF:W]		W	 
RDBECOLITUC00108	yadE	RDBECOLIOPC00206	yadE	yadE;			[COMP-AINF:W]		W	 
RDBECOLITUC00109	yadC	RDBECOLIOPC01654	yadMLKC	yadC;	yadCp		[COMP-AINF:W]		W	 
RDBECOLITUC00110	hrpB	RDBECOLIOPC00704	hrpB	hrpB;			[COMP-AINF:W]		W	 
RDBECOLITUC00111	uof-fur	RDBECOLIOPC02926	fldA-uof-fur	uof;fur;	uofp	RDBECOLITMC00324,RDBECOLITMC00357	[EXP-IDA-BOUNDARIES-DEFINED:W]		W	10419964;2993806;8387228 
RDBECOLITUC00112	mrcB	RDBECOLIOPC01312	mrcB	mrcB;	mrcBp		[COMP-AINF:W]		W	 
RDBECOLITUC00113	clcA	RDBECOLIOPC00426	clcA	clcA;			[COMP-AINF:W]		W	 
RDBECOLITUC00114	mnt-btuF-yadS	RDBECOLIOPC02794	mnt-btuF-yadS	mtn;btuF;yadS;	mtnp		[COMP-AINF:W]		W	 
RDBECOLITUC00115	dgt	RDBECOLIOPC01042	dgt	dgt;	dgtp1		[COMP-AINF:W]		W	 
RDBECOLITUC00116	yaeH	RDBECOLIOPC00156	yaeH	yaeH;			[COMP-AINF:W]		W	 
RDBECOLITUC00117	yaeI	RDBECOLIOPC01703	yaeI	yaeI;			[COMP-AINF:W]		W	 
RDBECOLITUC00118	map-glnD-dapD	RDBECOLIOPC03044	map-glnD-dapD	map;glnD;dapD;			[COMP-AINF:W]		W	18000553;11395452;12067348 
RDBECOLITUC00119	fldA-uof-fur	RDBECOLIOPC02926	fldA-uof-fur	uof;fur;fldA;	fldAp	RDBECOLITMC00357,RDBECOLITMC00324	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]		S	10419964 
RDBECOLITUC00120	dxr-uppS-cdsA	RDBECOLIOPC03310	dxr-uppS-cdsA	cdsA;ispU;dxr;			[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]		S	31127859 
RDBECOLITUC00121	yaeR	RDBECOLIOPC00465	yaeR	yaeR;			[COMP-AINF:W]		W	 
RDBECOLITUC00122	tilS	RDBECOLIOPC01998	tilS	tilS;			[COMP-AINF:W]		W	 
RDBECOLITUC00123	yaeP-rof	RDBECOLIOPC00985	yaeP-rof	yaeP;rof;	yaePp		[COMP-AINF:W]		W	 
RDBECOLITUC00124	yaeQ-arfB-nlpE	RDBECOLIOPC00194	yaeQ-arfB-nlpE	nlpE;arfB;yaeQ;	yaeQp		[COMP-AINF:W]		W	 
RDBECOLITUC00125	yaeF	RDBECOLIOPC01638	yaeF	yaeF;			[COMP-AINF:W]		W	 
RDBECOLITUC00126	rcsF-trmO	RDBECOLIOPC00692	rcsF-trmO	rcsF;trmO;			[COMP-AINF:W]		W	 
RDBECOLITUC00127	gmhB	RDBECOLIOPC02475	gmhB	gmhB;	gmhBp		[COMP-AINF:W]		W	 
RDBECOLITUC00128	dkgB	RDBECOLIOPC01296	dkgB	dkgB;	dkgBp		[COMP-AINF:W]		W	 
RDBECOLITUC00129	fur	RDBECOLIOPC02926	fldA-uof-fur	fur;	furpb	RDBECOLITMC00357,RDBECOLITMC00324	[EXP-IDA-BOUNDARIES-DEFINED:W]		W	2836193;2993806;8387228;21272324 
RDBECOLITUC00130	yafDE	RDBECOLIOPC00415	yafDE	yafE;yafD;	yafDp		[EXP-IEP-COREGULATION:W][COMP-AINF:W]		W	16818608;34903045 
RDBECOLITUC00131	mltD	RDBECOLIOPC02043	mltD	mltD;			[COMP-AINF:W]		W	 
RDBECOLITUC00132	gloB	RDBECOLIOPC01030	gloB	gloB;			[COMP-AINF:W]		W	 
RDBECOLITUC00133	dnaQ	RDBECOLIOPC03120	dnaQ	dnaQ;			[COMP-AINF:W]		W	 
RDBECOLITUC00134	yafT	RDBECOLIOPC01688	yafT	yafT;			[COMP-AINF:W]		W	 
RDBECOLITUC00135	gmhA	RDBECOLIOPC00736	gmhA	gmhA;			[COMP-AINF:W]		W	35397010 
RDBECOLITUC00136	yafJ	RDBECOLIOPC02394	yafJ	yafJ;			[COMP-AINF:W]		W	 
RDBECOLITUC00137	ldtF	RDBECOLIOPC01343	ldtF	dpaA;			[COMP-AINF:W]		W	 
RDBECOLITUC00138	dinJ-yafQ	RDBECOLIOPC00456	dinJ-yafQ	dinJ;yafQ;	dinJp		[COMP-AINF:W]		W	29967594 
RDBECOLITUC00139	yafL	RDBECOLIOPC01983	yafL	yafL;			[COMP-AINF:W]		W	 
RDBECOLITUC00140	rayT	RDBECOLIOPC00975	rayT	rayT;			[COMP-AINF:W]		W	 
RDBECOLITUC00141	lafU	RDBECOLIOPC00182	lafU	lafU;			[COMP-AINF:W]		W	 
