Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
thiD	b2103	2183716	2184516	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	ECK2096	thiD // thiA // thiJ // b2103 // ECK2096	G7135		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	thiamine salvage // thiamine diphosphate biosynthetic process // phosphorylation // thiamine biosynthetic process	cytosol	ATP binding // nucleotide binding // transferase activity // kinase activity // hydroxymethylpyrimidine kinase activity // phosphomethylpyrimidine kinase activity	thiMD
pal	b0741	779067	779588	peptidoglycan-associated outer membrane lipoprotein Pal	ECK0730	pal // excC // b0741 // ECK0730	EG10684		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of membrane invagination // cell cycle // cell septum assembly // cell division	outer membrane // membrane // cell division site // cell outer membrane	protein binding	tolB-pal-ybgF
malS	b3571	3737497	3739527	alpha-amylase	ECK3560	malS // b3571 // ECK3560	EG11316		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	oligosaccharide catabolic process // metabolic process // carbohydrate metabolic process // alpha-glucan catabolic process	periplasmic space // outer membrane-bounded periplasmic space	metal ion binding // hydrolase activity, acting on glycosyl bonds // hydrolase activity // calcium ion binding // alpha-amylase activity	malS
frvR	b3897	4088107	4089855	putative DNA-binding transcriptional regulator FrvR	ECK3890	frvR // yiiH // b3897 // ECK3890	EG11861		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	phosphorylation // DNA-templated transcription	plasma membrane	transferase activity // kinase activity // DNA binding	frvABXR
mepH	b1655	1734435	1735250	peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase MepH	ECK1651	mepH // ydhO // b1655 // ECK1651	G6892		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cell wall organization // capsule polysaccharide biosynthetic process // proteolysis // peptidoglycan metabolic process	outer membrane-bounded periplasmic space	hydrolase activity // cysteine-type peptidase activity // peptidase activity // endopeptidase activity	mepH
thiI	b0423	441549	442997	tRNA uridine 4-sulfurtransferase	ECK0417	thiI // nuvA // yajK // b0423 // ECK0417	G6238		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	L-cysteine catabolic process // detection of UV // tRNA thio-modification // thiazole biosynthetic process // thiamine diphosphate biosynthetic process // tRNA 4-thiouridine biosynthesis // thiamine biosynthetic process	L-cysteine desulfurase complex // sulfurtransferase complex // cytoplasm // cytosol	tRNA-uracil-4 sulfurtransferase activity // CCA tRNA nucleotidyltransferase activity // transferase activity // ATP binding // nucleotide binding // tRNA binding // RNA binding // protein binding // sulfur carrier activity // sulfurtransferase activity	thiI
ybeU	b0648	679508	680215	DUF1266 domain-containing protein YbeU	ECK0641	ybeU // b0648 // ECK0641	G6355		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plasma membrane		ybeU-djlC
holE	b1842	1925108	1925338	DNA polymerase III subunit &theta;	ECK1843	holE // b1842 // ECK1843	EG11505		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	lagging strand elongation // leading strand elongation // DNA-templated DNA replication // DNA biosynthetic process // DNA replication	DNA polymerase III complex // replisome // DNA polymerase III, core complex // cytosol // cytoplasm	DNA binding // nucleotidyltransferase activity // transferase activity // protein binding // DNA-directed DNA polymerase activity	holE
uhpT	b3666	3845776	3847167	hexose-6-phosphate:phosphate antiporter	ECK3657	uhpT // b3666 // ECK3657	EG11054		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // phosphate ion transmembrane transport // phosphate ion transport // transmembrane transport // hexose phosphate transport // glucose-6-phosphate transport	membrane // plasma membrane	glucose 6-phosphate:inorganic phosphate antiporter activity // transmembrane transporter activity // hexose-phosphate:inorganic phosphate antiporter activity	uhpTU
rsxC	b1629	1706919	1709141	SoxR [2Fe-2S] reducing system protein RsxC	ECK1625	rsxC // ydgN // b1629 // ECK1625	G6873		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of DNA-binding transcription factor activity // electron transport chain	plasma membrane protein complex // oxidoreductase complex // cytosol // plasma membrane // membrane	oxidoreductase activity, acting on NAD(P)H // electron transfer activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding	rsxABCDGE-nth // ydgK-rsxABCDGE-nth
yahK	b0325	342884	343933	aldehyde reductase, NADPH-dependent	ECK0323	yahK // b0325 // ECK0323	G6190		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	alcohol metabolic process // lignin biosynthetic process	cytosol	cinnamyl-alcohol dehydrogenase activity // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // zinc ion binding // metal ion binding // oxidoreductase activity // alcohol dehydrogenase (NADP+) activity	yahK
thiS	b4407	4192637	4192837	sulfur carrier protein ThiS	ECK3983	thiS // thiG1 // b4407 // ECK3983	G1		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	thiamine diphosphate biosynthetic process // thiamine biosynthetic process // thiazole biosynthetic process	adenylyltransferase complex // sulfurtransferase complex	nucleotide binding // sulfur carrier activity	thiCEFSGH
btuB	b3966	4163639	4165483	cobalamin outer membrane transporter	ECK3958	btuB // bfe // cer // b3966 // ECK3958	EG10126		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	vitamin transmembrane transport // monoatomic ion transmembrane transport // monoatomic ion transport // cobalamin transport	transmembrane transporter complex // pore complex // membrane // cell outer membrane	siderophore uptake transmembrane transporter activity // vitamin transmembrane transporter activity // ABC-type vitamin B12 transporter activity // protein domain specific binding // porin activity // metal ion binding // calcium ion binding // protein binding	btuB-murI
rbsB	b3751	3936278	3937168	ribose ABC transporter periplasmic binding protein	ECK3745	rbsB // prlB // rbsP // b3751 // ECK3745	EG10815		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // chemotaxis // D-ribose transmembrane transport // positive chemotaxis	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // periplasmic space // outer membrane-bounded periplasmic space	carbohydrate binding // monosaccharide binding // protein binding	rbsDACBZKR
fimZ	b0535	563848	564480	LuxR family transcriptional regulator FimZ	ECK0528	fimZ // ybcA // b0535 // ECK0528	EG11103	puuB // puuC // puuD // sfmC // sfmA	b1301 // b1300 // b1298 // b0531 // b0530		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of DNA-templated transcription // phosphorelay signal transduction system	cytoplasm // cytosol	DNA binding	fimZ
