Gene Name	Accession-1	Left-End-Position	Right-End-Position	Accession-2	Product	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
thiD	b2103	2183716	2184516	ECK2096	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD // thiA // thiJ // b2103 // ECK2096	G7135					phosphorylation // thiamine salvage // thiamine diphosphate biosynthetic process // thiamine biosynthetic process	cytosol	catalytic activity // ATP binding // kinase activity // hydroxymethylpyrimidine kinase activity // phosphomethylpyrimidine kinase activity	thiMD
pal	b0741	779067	779588	ECK0730	peptidoglycan-associated outer membrane lipoprotein Pal	pal // excC // b0741 // ECK0730	EG10684					regulation of membrane invagination // cell septum assembly // cell division	outer membrane // membrane // cell division site // cell outer membrane	protein binding	tolB-pal-ybgF
malS	b3571	3737497	3739527	ECK3560	alpha-amylase	malS // b3571 // ECK3560	EG11316					oligosaccharide catabolic process // alpha-glucan catabolic process	periplasmic space // outer membrane-bounded periplasmic space	metal ion binding // hydrolase activity, acting on glycosyl bonds // calcium ion binding // alpha-amylase activity	malS
frvR	b3897	4088107	4089855	ECK3890	putative DNA-binding transcriptional regulator FrvR	frvR // yiiH // b3897 // ECK3890	EG11861					phosphorylation // DNA-templated transcription	plasma membrane	kinase activity // DNA binding	frvABXR
mepH	b1655	1734435	1735250	ECK1651	peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase MepH	mepH // ydhO // b1655 // ECK1651	G6892					cell wall organization // capsule polysaccharide biosynthetic process // proteolysis // peptidoglycan metabolic process	outer membrane-bounded periplasmic space	cysteine-type peptidase activity // endopeptidase activity	mepH
thiI	b0423	441549	442997	ECK0417	tRNA uridine 4-sulfurtransferase	thiI // nuvA // yajK // b0423 // ECK0417	G6238					L-cysteine catabolic process // detection of UV // tRNA thio-modification // thiazole biosynthetic process // thiamine diphosphate biosynthetic process // tRNA 4-thiouridine biosynthesis // thiamine biosynthetic process	L-cysteine desulfurase complex // sulfurtransferase complex // cytoplasm // cytosol	tRNA-uracil-4 sulfurtransferase activity // CCA tRNA nucleotidyltransferase activity // transferase activity // ATP binding // tRNA binding // RNA binding // protein binding // sulfur carrier activity // sulfurtransferase activity	thiI
ybeU	b0648	679508	680215	ECK0641	DUF1266 domain-containing protein YbeU	ybeU // b0648 // ECK0641	G6355						plasma membrane		ybeU-djlC
holE	b1842	1925108	1925338	ECK1843	DNA polymerase III subunit &theta;	holE // b1842 // ECK1843	EG11505					lagging strand elongation // leading strand elongation // DNA-templated DNA replication // DNA biosynthetic process // DNA replication	DNA polymerase III complex // replisome // DNA polymerase III, core complex // cytosol // cytoplasm	DNA binding // protein binding // DNA-directed DNA polymerase activity	holE
uhpT	b3666	3845776	3847167	ECK3657	hexose-6-phosphate:phosphate antiporter	uhpT // b3666 // ECK3657	EG11054					phosphate ion transmembrane transport // phosphate ion transport // transmembrane transport // hexose phosphate transport // glucose-6-phosphate transport	membrane // plasma membrane	glucose 6-phosphate:phosphate antiporter activity // transmembrane transporter activity // hexose-phosphate:phosphate antiporter activity	uhpTU
rsxC	b1629	1706919	1709141	ECK1625	SoxR [2Fe-2S] reducing system protein RsxC	rsxC // ydgN // b1629 // ECK1625	G6873					regulation of DNA-binding transcription factor activity // electron transport chain	plasma membrane protein complex // oxidoreductase complex // cytosol // plasma membrane // membrane	oxidoreductase activity, acting on NAD(P)H // electron transfer activity // 4 iron, 4 sulfur cluster binding // metal ion binding	rsxABCDGE-nth // ydgK-rsxABCDGE-nth
yahK	b0325	342884	343933	ECK0323	aldehyde reductase, NADPH-dependent	yahK // b0325 // ECK0323	G6190						cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // zinc ion binding // metal ion binding // oxidoreductase activity // alcohol dehydrogenase (NADP+) activity	yahK
thiS	b4407	4192637	4192837	ECK3983	sulfur carrier protein ThiS	thiS // thiG1 // b4407 // ECK3983	G1					thiamine diphosphate biosynthetic process // thiamine biosynthetic process // thiazole biosynthetic process	adenylyltransferase complex // sulfurtransferase complex	nucleotide binding // sulfur carrier activity	thiCEFSGH
btuB	b3966	4163639	4165483	ECK3958	cobalamin outer membrane transporter	btuB // bfe // cer // b3966 // ECK3958	EG10126					vitamin transmembrane transport // monoatomic ion transmembrane transport // monoatomic ion transport // cobalamin transport	transmembrane transporter complex // pore complex // membrane // cell outer membrane	vitamin transmembrane transporter activity // ABC-type vitamin B12 transporter activity // protein domain specific binding // porin activity // metal ion binding // calcium ion binding // protein binding	btuB-murI
rbsB	b3751	3936278	3937168	ECK3745	ribose ABC transporter periplasmic binding protein	rbsB // prlB // rbsP // b3751 // ECK3745	EG10815					chemotaxis // D-ribose transmembrane transport // positive chemotaxis	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // periplasmic space // outer membrane-bounded periplasmic space	carbohydrate binding // monosaccharide binding // protein binding	rbsDACBZKR
